frame,track_id,world_pX,world_pZ,world_pY,cov_00,cov_01,cov_02,cov_10,cov_11,cov_12,cov_20,cov_21,cov_22
3,1,-0.188777,3.935476,1.646312,0.002193,0.000002,0.000000,0.000002,0.001254,0.000001,0.000000,0.000001,0.008261
4,1,-0.124327,3.940309,1.631777,0.002009,0.000015,-0.000001,0.000015,0.000972,-0.000002,-0.000001,-0.000002,0.007010
5,1,-0.089801,3.947072,1.614827,0.001850,0.000005,0.000000,0.000005,0.001015,-0.000002,0.000000,-0.000002,0.006051
6,1,-0.015924,3.957226,1.596884,0.001801,0.000032,0.000000,0.000032,0.001228,-0.000001,0.000000,-0.000001,0.005330
7,1,0.010429,3.964288,1.587008,0.001741,0.000022,-0.000000,0.000022,0.001544,-0.000000,-0.000000,-0.000000,0.004781
8,1,0.015932,3.967054,1.581542,0.001753,0.000052,-0.000003,0.000052,0.001465,-0.000001,-0.000003,-0.000001,0.004354
9,1,0.033788,3.969950,1.590825,0.001703,0.000090,-0.000003,0.000090,0.001263,-0.000001,-0.000003,-0.000001,0.004013
10,1,0.044766,3.971387,1.597564,0.001677,0.000114,-0.000002,0.000114,0.001155,-0.000001,-0.000002,-0.000001,0.003740
11,1,0.067409,4.036273,1.630894,0.001720,0.000066,-0.000015,0.000066,0.001627,0.000124,-0.000015,0.000124,0.003750
12,1,0.133647,4.056232,1.642828,0.001615,0.000223,0.000023,0.000223,0.001320,0.000009,0.000023,0.000009,0.003561
13,1,0.161534,4.064809,1.651910,0.001605,0.000114,0.000004,0.000114,0.001519,-0.000007,0.000004,-0.000007,0.003413
14,1,0.174695,4.094368,1.665301,0.001611,0.000107,-0.000001,0.000107,0.001514,-0.000003,-0.000001,-0.000003,0.003326
15,1,0.204883,4.132129,1.680346,0.001536,0.000146,0.000002,0.000146,0.001499,-0.000002,0.000002,-0.000002,0.003259
16,1,0.248312,4.211449,1.704441,0.001547,0.000150,0.000004,0.000150,0.001574,0.000010,0.000004,0.000010,0.003237
17,1,0.302844,4.372338,1.718054,0.001784,0.000203,0.000001,0.000203,0.001953,0.000016,0.000001,0.000016,0.003373
18,1,0.488995,4.200660,1.654504,0.002220,-0.000058,-0.000074,-0.000058,0.002270,0.000069,-0.000074,0.000069,0.005145
19,1,0.515465,4.169763,1.605927,0.002087,0.000061,-0.000060,0.000061,0.002076,0.000051,-0.000060,0.000051,0.005841
20,1,0.547299,4.293986,1.620048,0.002043,0.000050,-0.000011,0.000050,0.002210,0.000011,-0.000011,0.000011,0.006222
21,1,0.581640,4.340999,1.636212,0.001922,0.000125,-0.000012,0.000125,0.001925,0.000016,-0.000012,0.000016,0.006151
22,1,0.609004,4.389329,1.661549,0.001816,0.000123,-0.000010,0.000123,0.001854,0.000008,-0.000010,0.000008,0.005836
23,1,0.639508,4.433938,1.671092,0.008822,0.002066,-0.000003,0.002066,0.009948,0.000007,-0.000003,0.000007,0.013433
24,1,0.831186,4.479922,1.644026,0.002271,0.000050,-0.000009,0.000050,0.002303,0.000002,-0.000009,0.000002,0.007767
25,1,0.866012,4.483038,1.638216,0.001969,0.000001,0.000005,0.000001,0.001934,-0.000002,0.000005,-0.000002,0.005848
26,1,0.870028,4.484963,1.636347,0.001984,0.000076,0.000003,0.000076,0.001696,-0.000003,0.000003,-0.000003,0.005083
27,1,0.917555,4.494029,1.632312,0.001829,0.000100,0.000000,0.000100,0.001412,-0.000002,0.000000,-0.000002,0.004620
28,1,0.959011,4.507217,1.628065,0.001783,0.000073,0.000000,0.000073,0.001384,-0.000002,0.000000,-0.000002,0.004309
29,1,0.992792,4.558235,1.641807,0.001773,0.000051,-0.000002,0.000051,0.001484,0.000011,-0.000002,0.000011,0.004113
30,1,1.054921,4.586333,1.650840,0.001699,0.000133,0.000003,0.000133,0.001446,0.000001,0.000003,0.000001,0.003897
31,1,1.076802,4.598172,1.657214,0.001684,0.000092,-0.000000,0.000092,0.001561,-0.000001,-0.000000,-0.000001,0.003715
32,1,1.088887,4.623017,1.666508,0.001656,0.000132,-0.000001,0.000132,0.001492,0.000001,-0.000001,0.000001,0.003560
33,1,1.105951,4.657401,1.678220,0.001565,0.000182,-0.000001,0.000182,0.001439,0.000003,-0.000001,0.000003,0.003427
34,1,1.130813,4.714988,1.690999,0.001488,0.000196,-0.000002,0.000196,0.001478,0.000005,-0.000002,0.000005,0.003322
35,1,1.239340,4.894366,1.718109,0.001917,0.000464,0.000016,0.000464,0.002131,0.000069,0.000016,0.000069,0.003631
36,1,1.328995,4.844025,1.679707,0.002024,-0.000029,-0.000064,-0.000029,0.002156,0.000117,-0.000064,0.000117,0.004229
37,1,1.353847,4.826524,1.651242,0.001885,0.000200,-0.000059,0.000200,0.001877,0.000115,-0.000059,0.000115,0.004476
38,1,1.369979,4.841144,1.637443,0.001742,0.000324,-0.000019,0.000324,0.001495,0.000005,-0.000019,0.000005,0.004314
39,1,1.439527,4.870626,1.634919,0.001682,0.000348,-0.000008,0.000348,0.001360,0.000002,-0.000008,0.000002,0.004262
40,1,1.509498,4.901726,1.638756,0.001708,0.000245,0.000005,0.000245,0.001461,-0.000005,0.000005,-0.000005,0.004178
41,1,1.606512,5.078261,1.679136,0.002069,0.000088,-0.000021,0.000088,0.002376,0.000203,-0.000021,0.000203,0.004594
42,1,1.695903,5.033282,1.655403,0.002024,-0.000018,-0.000003,-0.000018,0.002089,0.000018,-0.000003,0.000018,0.004735
43,1,1.713777,5.017992,1.640208,0.001928,0.000191,-0.000015,0.000191,0.001826,0.000024,-0.000015,0.000024,0.004662
44,1,1.724090,5.025081,1.634479,0.001827,0.000310,-0.000010,0.000310,0.001463,-0.000001,-0.000010,-0.000001,0.004482
45,1,1.771100,5.024817,1.627882,0.001762,0.000304,-0.000009,0.000304,0.001322,0.000005,-0.000009,0.000005,0.004403
46,1,1.828634,5.029990,1.625693,0.001757,0.000229,-0.000002,0.000229,0.001263,0.000002,-0.000002,0.000002,0.004270
47,1,1.900819,5.068538,1.629636,0.001804,0.000157,0.000002,0.000157,0.001399,0.000007,0.000002,0.000007,0.004096
48,1,1.976800,5.072379,1.634024,0.001765,0.000084,0.000002,0.000084,0.001592,-0.000000,0.000002,-0.000000,0.003919
49,1,2.012468,5.071114,1.637677,0.001772,0.000034,-0.000002,0.000034,0.001630,-0.000000,-0.000002,-0.000000,0.003749
50,1,2.032437,5.094331,1.645465,0.001785,0.000035,-0.000003,0.000035,0.001481,0.000004,-0.000003,0.000004,0.003601
51,1,2.067491,5.130901,1.661217,0.001727,0.000071,-0.000003,0.000071,0.001363,0.000013,-0.000003,0.000013,0.003487
52,1,2.108719,5.174556,1.668904,0.001670,0.000123,-0.000001,0.000123,0.001344,0.000008,-0.000001,0.000008,0.003382
53,1,2.225911,5.396098,1.719124,0.002113,0.000134,0.000013,0.000134,0.002862,0.000253,0.000013,0.000253,0.004628
54,1,2.242290,5.379781,1.695432,0.002010,0.000032,0.000025,0.000032,0.001988,0.000016,0.000025,0.000016,0.004952
