3,1,590.00,447.00,39.00,113.00,1
3,2,495.00,431.00,31.00,128.00,1
3,3,286.00,362.00,40.00,165.00,1
4,1,590.00,449.00,41.00,114.00,1
4,2,489.00,429.00,35.00,129.00,1
4,3,278.00,362.00,52.00,165.00,1
5,1,593.00,450.00,42.00,116.00,1
5,2,487.00,431.00,36.00,128.00,1
5,3,278.00,363.00,51.00,166.00,1
6,1,598.00,451.00,40.00,116.00,1
6,2,482.00,432.00,40.00,126.00,1
6,3,282.00,364.00,52.00,166.00,1
7,1,603.00,451.00,39.00,115.00,1
7,2,477.00,432.00,39.00,124.00,1
7,3,282.00,365.00,56.00,166.00,1
8,1,608.00,450.00,39.00,113.00,1
8,2,475.00,430.00,40.00,123.00,1
8,3,286.00,365.00,54.00,164.00,1
9,1,616.00,451.00,33.00,108.00,1
9,2,468.00,430.00,35.00,120.00,1
9,3,289.00,363.00,52.00,165.00,1
10,1,617.00,449.00,32.00,106.00,1
10,2,463.00,430.00,38.00,120.00,1
10,3,293.00,365.00,55.00,159.00,1
11,1,616.00,446.00,42.00,107.00,1
11,2,464.00,427.00,40.00,121.00,1
11,3,289.00,369.00,56.00,163.00,1
12,1,618.00,446.00,46.00,108.00,1
12,2,467.00,426.00,41.00,123.00,1
12,3,287.00,371.00,56.00,174.00,1
13,1,619.00,446.00,51.00,108.00,1
13,2,475.00,427.00,38.00,123.00,1
13,3,282.00,371.00,60.00,180.00,1
14,1,619.00,444.00,53.00,109.00,1
14,2,476.00,427.00,41.00,124.00,1
14,3,277.00,372.00,61.00,176.00,1
15,1,624.00,443.00,50.00,110.00,1
15,2,477.00,426.00,37.00,123.00,1
15,3,280.00,370.00,59.00,178.00,1
16,1,627.00,441.00,49.00,107.00,1
16,2,480.00,426.00,32.00,123.00,1
16,3,284.00,370.00,55.00,174.00,1
17,1,630.00,441.00,49.00,106.00,1
17,2,478.00,428.00,35.00,122.00,1
17,3,284.00,369.00,58.00,175.00,1
18,1,635.00,438.00,45.00,107.00,1
18,2,477.00,428.00,40.00,122.00,1
18,3,283.00,368.00,55.00,176.00,1
19,1,639.00,437.00,44.00,101.00,1
19,2,479.00,429.00,36.00,122.00,1
19,3,283.00,367.00,60.00,175.00,1
20,1,639.00,435.00,43.00,100.00,1
20,2,476.00,427.00,39.00,124.00,1
20,3,274.00,368.00,63.00,182.00,1
21,1,639.00,432.00,46.00,101.00,1
21,2,479.00,429.00,36.00,122.00,1
21,3,281.00,369.00,61.00,186.00,1
22,1,639.00,431.00,45.00,102.00,1
22,2,476.00,427.00,39.00,124.00,1
22,3,275.00,368.00,64.00,185.00,1
23,1,636.00,429.00,45.00,103.00,1
23,2,475.00,426.00,41.00,125.00,1
23,3,264.00,370.00,69.00,182.00,1
24,1,629.00,430.00,48.00,104.00,1
24,2,477.00,426.00,41.00,125.00,1
24,3,272.00,371.00,63.00,186.00,1
25,1,629.00,428.00,43.00,103.00,1
25,2,478.00,428.00,43.00,126.00,1
25,3,279.00,370.00,62.00,193.00,1
26,1,629.00,427.00,41.00,101.00,1
26,2,479.00,427.00,39.00,125.00,1
26,3,279.00,372.00,63.00,189.00,1
27,1,627.00,427.00,40.00,98.00,1
27,2,478.00,428.00,41.00,126.00,1
27,3,275.00,374.00,64.00,188.00,1
28,1,625.00,426.00,34.00,94.00,1
28,2,479.00,428.00,42.00,126.00,1
28,3,270.00,372.00,63.00,185.00,1
29,1,622.00,425.00,38.00,90.00,1
29,2,479.00,429.00,43.00,126.00,1
29,3,268.00,371.00,60.00,189.00,1
30,1,622.00,422.00,39.00,92.00,1
30,2,482.00,430.00,39.00,124.00,1
30,3,266.00,372.00,68.00,192.00,1
31,1,622.00,420.00,38.00,93.00,1
31,2,483.00,430.00,38.00,123.00,1
31,3,270.00,371.00,68.00,191.00,1
32,1,620.00,418.00,34.00,93.00,1
32,2,485.00,430.00,36.00,123.00,1
32,3,266.00,373.00,71.00,198.00,1
33,1,620.00,418.00,34.00,93.00,1
33,2,486.00,430.00,38.00,123.00,1
33,3,272.00,373.00,67.00,202.00,1
34,2,481.00,430.00,43.00,123.00,1
34,3,277.00,375.00,61.00,200.00,1
35,1,613.00,421.00,32.00,92.00,1
35,2,482.00,430.00,46.00,123.00,1
35,3,272.00,374.00,69.00,210.00,1
36,1,609.00,420.00,32.00,92.00,1
36,2,486.00,430.00,41.00,125.00,1
36,3,273.00,376.00,68.00,210.00,1
37,1,608.00,418.00,30.00,93.00,1
37,2,482.00,433.00,49.00,122.00,1
37,3,277.00,377.00,65.00,208.00,1
38,1,606.00,418.00,30.00,93.00,1
38,2,481.00,434.00,53.00,122.00,1
38,3,280.00,377.00,64.00,204.00,1
39,1,600.00,417.00,36.00,91.00,1
39,2,484.00,434.00,51.00,122.00,1
39,3,277.00,377.00,65.00,204.00,1
40,1,600.00,417.00,36.00,91.00,1
