frame,track_id,world_pX,world_pZ,world_pY,cov_00,cov_01,cov_02,cov_10,cov_11,cov_12,cov_20,cov_21,cov_22
3,1,-1.076477,5.095750,1.649749,0.007022,0.000000,0.000000,0.000000,0.064917,0.000000,0.000000,0.000000,0.007022
3,2,2.197842,5.473411,1.667755,0.007039,0.000000,0.000000,0.000000,0.074896,0.000000,0.000000,0.000000,0.007039
3,3,2.764410,3.507286,1.636523,0.006919,0.000000,0.000000,0.000000,0.030753,0.000000,0.000000,0.000000,0.006919
3,4,-0.055711,2.785534,1.406695,0.003631,0.000000,0.000000,0.000000,0.019398,0.000000,0.000000,0.000000,0.003631
4,1,-1.057185,5.119402,1.671979,0.007107,0.000000,0.000000,0.000000,0.065521,0.000000,0.000000,0.000000,0.007107
4,2,2.141691,5.467308,1.667365,0.006808,0.000000,0.000000,0.000000,0.074729,0.000000,0.000000,0.000000,0.006808
4,3,2.673301,3.447013,1.594716,0.006501,0.000000,0.000000,0.000000,0.029705,0.000000,0.000000,0.000000,0.006501
4,4,-0.094658,2.758831,1.393210,0.003487,0.000000,0.000000,0.000000,0.019028,0.000000,0.000000,0.000000,0.003487
5,1,-1.090369,5.114061,1.660909,0.006981,0.000000,0.000000,0.000000,0.065384,0.000000,0.000000,0.000000,0.006981
5,2,2.099804,5.494774,1.666015,0.006620,0.000000,0.000000,0.000000,0.075481,0.000000,0.000000,0.000000,0.006620
5,3,2.720915,3.551537,1.595787,0.006602,0.000000,0.000000,0.000000,0.031534,0.000000,0.000000,0.000000,0.006602
5,4,-0.151125,2.769512,1.388389,0.003396,0.000000,0.000000,0.000000,0.019175,0.000000,0.000000,0.000000,0.003396
6,1,-1.124595,5.111009,1.647363,0.006735,0.000000,0.000000,0.000000,0.065306,0.000000,0.000000,0.000000,0.006735
6,2,2.065803,5.500877,1.649703,0.006293,0.000000,0.000000,0.000000,0.075649,0.000000,0.000000,0.000000,0.006293
6,3,2.754664,3.574426,1.596988,0.006056,0.000000,0.000000,0.000000,0.031941,0.000000,0.000000,0.000000,0.006056
6,4,-0.187620,2.787060,1.393760,0.003442,0.000000,0.000000,0.000000,0.019419,0.000000,0.000000,0.000000,0.003442
7,1,-1.168856,5.114824,1.635181,0.006452,0.000000,0.000000,0.000000,0.065404,0.000000,0.000000,0.000000,0.006452
7,2,2.037243,5.519188,1.673379,0.006078,0.000000,0.000000,0.000000,0.076154,0.000000,0.000000,0.000000,0.006078
