frame,ped_id,world_pX,world_pZ,world_pY,bb_left,bb_top,bb_w,bb_h
1,1,-0.9967,4.9396,1.6485,294.29,283.49,50.00,150.00
1,2,-0.7602,6.9333,2.0285,331.14,267.03,50.00,150.00
1,3,-1.7778,3.5947,1.6485,177.18,333.44,50.00,150.00
1,4,-0.6108,3.3073,1.6485,301.13,349.38,50.00,150.00
1,5,1.8083,4.1448,1.6485,549.51,309.09,50.00,150.00
2,1,-1.0002,4.9447,1.6485,294.09,283.36,50.00,150.00
2,2,-0.7681,6.9383,2.0285,330.72,266.95,50.00,150.00
2,3,-1.7863,3.5969,1.6485,176.35,333.33,50.00,150.00
2,4,-0.6038,3.3045,1.6485,301.92,349.55,50.00,150.00
2,5,1.8041,4.1521,1.6485,548.80,308.81,50.00,150.00
3,1,-1.0036,4.9544,1.6485,293.97,283.09,50.00,150.00
3,2,-0.7799,6.9458,2.0285,330.08,266.82,50.00,150.00
3,3,-1.7999,3.5978,1.6485,174.89,333.28,50.00,150.00
3,4,-0.5937,3.2993,1.6485,303.03,349.86,50.00,150.00
3,5,1.7977,4.1630,1.6485,547.73,308.40,50.00,150.00
4,1,-1.0073,4.9685,1.6485,293.90,282.72,50.00,150.00
4,2,-0.7957,6.9558,2.0285,329.24,266.65,50.00,150.00
4,3,-1.8183,3.5980,1.6485,172.85,333.27,50.00,150.00
4,4,-0.5804,3.2919,1.6485,304.48,350.31,50.00,150.00
4,5,1.7892,4.1775,1.6485,546.32,307.85,50.00,150.00
5,1,-1.0144,4.9859,1.6485,293.62,282.25,50.00,150.00
5,2,-0.8096,6.9731,2.0285,328.56,266.36,50.00,150.00
5,3,-1.8416,3.5978,1.6485,170.25,333.28,50.00,150.00
5,4,-0.5638,3.2823,1.6485,306.29,350.89,50.00,150.00
5,5,1.7786,4.1956,1.6485,544.57,307.16,50.00,150.00
6,1,-1.0247,5.0066,1.6485,293.13,281.70,50.00,150.00
6,2,-0.8229,6.9961,2.0285,327.95,265.98,50.00,150.00
6,3,-1.8699,3.5972,1.6485,167.08,333.31,50.00,150.00
6,4,-0.5439,3.2708,1.6485,308.49,351.60,50.00,150.00
6,5,1.7659,4.2174,1.6485,542.48,306.35,50.00,150.00
7,1,-1.0380,5.0306,1.6485,292.46,281.08,50.00,150.00
7,2,-0.8364,7.0241,2.0285,327.37,265.52,50.00,150.00
7,3,-1.9030,3.5964,1.6485,163.35,333.35,50.00,150.00
7,4,-0.5206,3.2573,1.6485,311.07,352.44,50.00,150.00
7,5,1.7510,4.2429,1.6485,540.08,305.41,50.00,150.00
8,1,-1.0495,5.0599,1.6485,292.03,280.32,50.00,150.00
8,2,-0.8590,7.0501,2.0285,326.26,265.09,50.00,150.00
8,3,-1.9409,3.5954,1.6485,159.07,333.40,50.00,150.00
8,4,-0.4939,3.2420,1.6485,314.06,353.39,50.00,150.00
8,5,1.7341,4.2719,1.6485,537.37,304.36,50.00,150.00
9,1,-1.0666,5.0911,1.6485,291.20,279.52,50.00,150.00
9,2,-0.8794,7.0828,2.0285,325.34,264.56,50.00,150.00
9,3,-1.9838,3.5944,1.6485,154.24,333.45,50.00,150.00
9,4,-0.4638,3.2250,1.6485,317.47,354.47,50.00,150.00
9,5,1.7150,4.3046,1.6485,534.36,303.18,50.00,150.00
10,1,-1.0816,5.1278,1.6485,290.63,278.59,50.00,150.00
10,2,-0.9086,7.1132,2.0285,323.91,264.07,50.00,150.00
10,3,-2.0316,3.5934,1.6485,148.86,333.50,50.00,150.00
10,4,-0.4302,3.2062,1.6485,321.33,355.66,50.00,150.00
10,5,1.6938,4.3409,1.6485,531.08,301.90,50.00,150.00
11,1,-1.1017,5.1329,1.6485,289.14,278.47,50.00,150.00
11,2,-0.9341,7.1514,2.0285,322.75,263.46,50.00,150.00
11,3,-2.0842,3.5926,1.6485,142.94,333.55,50.00,150.00
11,4,-0.3909,3.1922,1.6485,326.02,356.56,50.00,150.00
11,5,1.6705,4.3809,1.6485,527.52,300.52,50.00,150.00
12,1,-1.1165,5.1483,1.6485,288.26,278.08,50.00,150.00
12,2,-0.9689,7.1867,2.0285,321.07,262.90,50.00,150.00
12,3,-2.1418,3.5917,1.6485,136.47,333.59,50.00,150.00
12,4,-0.3470,3.1811,1.6485,331.37,357.29,50.00,150.00
12,5,1.6450,4.4245,1.6485,523.72,299.04,50.00,150.00
13,1,-1.1281,5.1702,1.6485,287.73,277.54,50.00,150.00
13,2,-1.0105,7.2209,2.0285,319.03,262.37,50.00,150.00
13,3,-2.2042,3.5908,1.6485,129.46,333.63,50.00,150.00
13,4,-0.2988,3.1716,1.6485,337.32,357.91,50.00,150.00
13,5,1.6175,4.4717,1.6485,519.69,297.46,50.00,150.00
