frame,ped_id,world_pX,world_pZ,world_pY,bb_left,bb_top,bb_w,bb_h
1,1,-0.1650,7.2519,1.6485,365.90,240.93,50.00,150.00
2,1,-0.1574,7.2561,1.6485,366.32,240.88,50.00,150.00
3,1,-0.1460,7.2625,1.6485,366.96,240.80,50.00,150.00
4,1,-0.1308,7.2710,1.6485,367.80,240.69,50.00,150.00
5,1,-0.1118,7.2817,1.6485,368.86,240.56,50.00,150.00
6,1,-0.0890,7.2945,1.6485,370.12,240.40,50.00,150.00
7,1,-0.0624,7.3094,1.6485,371.59,240.21,50.00,150.00
8,1,-0.0320,7.3265,1.6485,373.25,240.00,50.00,150.00
9,1,0.0022,7.3456,1.6485,375.12,239.77,50.00,150.00
10,1,0.0402,7.3670,1.6485,377.18,239.51,50.00,150.00
11,1,0.0820,7.3904,1.6485,379.44,239.22,50.00,150.00
12,1,0.1276,7.4160,1.6485,381.88,238.92,50.00,150.00
13,1,0.1770,7.4437,1.6485,384.51,238.58,50.00,150.00
14,1,0.2285,7.4726,1.6485,387.23,238.24,50.00,150.00
15,1,0.2800,7.5015,1.6485,389.93,237.90,50.00,150.00
16,1,0.3315,7.5303,1.6485,392.61,237.57,50.00,150.00
17,1,0.3829,7.5592,1.6485,395.26,237.23,50.00,150.00
18,1,0.4344,7.5881,1.6485,397.90,236.90,50.00,150.00
19,1,0.4859,7.6170,1.6485,400.52,236.57,50.00,150.00
20,1,0.5374,7.6459,1.6485,403.11,236.24,50.00,150.00
21,1,0.5889,7.6747,1.6485,405.69,235.92,50.00,150.00
22,1,0.6403,7.7036,1.6485,408.25,235.60,50.00,150.00
23,1,0.6918,7.7325,1.6485,410.79,235.28,50.00,150.00
24,1,0.7433,7.7614,1.6485,413.31,234.96,50.00,150.00
25,1,0.7948,7.7902,1.6485,415.81,234.64,50.00,150.00
26,1,0.8463,7.8191,1.6485,418.29,234.33,50.00,150.00
27,1,0.8977,7.8480,1.6485,420.76,234.02,50.00,150.00
28,1,0.9492,7.8769,1.6485,423.20,233.71,50.00,150.00
29,1,1.0007,7.9058,1.6485,425.63,233.41,50.00,150.00
30,1,1.0522,7.9346,1.6485,428.04,233.10,50.00,150.00
31,1,1.1037,7.9635,1.6485,430.44,232.80,50.00,150.00
32,1,1.1551,7.9924,1.6485,432.81,232.50,50.00,150.00
33,1,1.2066,8.0213,1.6485,435.17,232.21,50.00,150.00
34,1,1.2581,8.0502,1.6485,437.51,231.91,50.00,150.00
35,1,1.3096,8.0790,1.6485,439.84,231.62,50.00,150.00
36,1,1.3611,8.1079,1.6485,442.15,231.33,50.00,150.00
37,1,1.4125,8.1368,1.6485,444.44,231.04,50.00,150.00
38,1,1.4640,8.1657,1.6485,446.72,230.75,50.00,150.00
39,1,1.5155,8.1945,1.6485,448.98,230.47,50.00,150.00
40,1,1.5670,8.2234,1.6485,451.22,230.19,50.00,150.00
41,1,1.6185,8.2523,1.6485,453.45,229.90,50.00,150.00
42,1,1.6699,8.2812,1.6485,455.66,229.63,50.00,150.00
43,1,1.7214,8.3101,1.6485,457.86,229.35,50.00,150.00
44,1,1.7729,8.3389,1.6485,460.04,229.07,50.00,150.00
45,1,1.8244,8.3678,1.6485,462.21,228.80,50.00,150.00
46,1,1.8759,8.3967,1.6485,464.36,228.53,50.00,150.00
47,1,1.9273,8.4256,1.6485,466.50,228.26,50.00,150.00
48,1,1.9788,8.4545,1.6485,468.62,227.99,50.00,150.00
49,1,2.0303,8.4833,1.6485,470.73,227.73,50.00,150.00
50,1,2.0818,8.5122,1.6485,472.83,227.47,50.00,150.00
51,1,2.1333,8.5411,1.6485,474.91,227.20,50.00,150.00
52,1,2.1847,8.5700,1.6485,476.97,226.94,50.00,150.00
53,1,2.2362,8.5988,1.6485,479.02,226.68,50.00,150.00
54,1,2.2877,8.6277,1.6485,481.06,226.43,50.00,150.00
55,1,2.3392,8.6566,1.6485,483.09,226.17,50.00,150.00
56,1,2.3907,8.6855,1.6485,485.10,225.92,50.00,150.00
57,1,2.4421,8.7144,1.6485,487.10,225.67,50.00,150.00
58,1,2.4936,8.7432,1.6485,489.08,225.42,50.00,150.00
