frame,ped_id,world_pX,world_pZ,world_pY,bb_left,bb_top,bb_w,bb_h
1,1,-0.8163,5.7129,1.6485,317.85,265.42,50.00,150.00
1,2,0.4197,4.0358,1.6485,416.60,313.39,50.00,150.00
1,3,0.9881,4.0517,1.6485,472.55,312.75,50.00,150.00
1,4,-1.5844,4.5233,1.6485,234.89,295.78,50.00,150.00
2,1,-0.8171,5.7215,1.6485,317.88,265.25,50.00,150.00
2,2,0.3655,4.0301,1.6485,411.28,313.62,50.00,150.00
2,3,0.9951,4.0483,1.6485,473.32,312.88,50.00,150.00
2,4,-1.5904,4.5229,1.6485,234.34,295.79,50.00,150.00
3,1,-0.8165,5.7346,1.6485,318.05,264.99,50.00,150.00
3,2,0.3549,4.0355,1.6485,410.17,313.40,50.00,150.00
3,3,1.0062,4.0446,1.6485,474.51,313.03,50.00,150.00
3,4,-1.6008,4.5189,1.6485,233.30,295.92,50.00,150.00
4,1,-0.8148,5.7523,1.6485,318.34,264.63,50.00,150.00
4,2,0.3397,4.0422,1.6485,408.62,313.13,50.00,150.00
4,3,1.0214,4.0402,1.6485,476.13,313.21,50.00,150.00
4,4,-1.6156,4.5120,1.6485,231.77,296.14,50.00,150.00
5,1,-0.8122,5.7745,1.6485,318.74,264.19,50.00,150.00
5,2,0.3203,4.0503,1.6485,406.64,312.80,50.00,150.00
5,3,1.0406,4.0348,1.6485,478.17,313.43,50.00,150.00
5,4,-1.6350,4.5024,1.6485,229.75,296.45,50.00,150.00
6,1,-0.8090,5.8012,1.6485,319.22,263.67,50.00,150.00
6,2,0.2969,4.0603,1.6485,404.24,312.40,50.00,150.00
6,3,1.0637,4.0282,1.6485,480.63,313.70,50.00,150.00
6,4,-1.6591,4.4906,1.6485,227.22,296.84,50.00,150.00
7,1,-0.8052,5.8326,1.6485,319.78,263.05,50.00,150.00
7,2,0.2694,4.0725,1.6485,401.46,311.91,50.00,150.00
7,3,1.0907,4.0201,1.6485,483.52,314.03,50.00,150.00
7,4,-1.6880,4.4768,1.6485,224.18,297.29,50.00,150.00
8,1,-0.8011,5.8685,1.6485,320.40,262.36,50.00,150.00
