3,1,364.00,371.00,49.00,185.00,1
3,2,71.00,358.00,62.00,153.00,1
4,1,368.00,370.00,48.00,183.00,1
4,2,75.00,357.00,59.00,153.00,1
5,1,371.00,370.00,46.00,183.00,1
5,2,78.00,355.00,61.00,153.00,1
6,1,373.00,370.00,48.00,183.00,1
6,2,82.00,355.00,57.00,153.00,1
7,1,374.00,370.00,52.00,184.00,1
7,2,81.00,356.00,60.00,153.00,1
8,1,374.00,371.00,55.00,184.00,1
8,2,81.00,356.00,61.00,153.00,1
9,1,374.00,371.00,59.00,183.00,1
9,2,84.00,358.00,68.00,151.00,1
10,1,371.00,373.00,69.00,183.00,1
10,2,84.00,360.00,75.00,150.00,1
11,1,370.00,374.00,76.00,181.00,1
11,2,89.00,362.00,80.00,148.00,1
12,1,372.00,377.00,77.00,180.00,1
12,2,90.00,362.00,83.00,147.00,1
13,1,376.00,374.00,77.00,179.00,1
13,2,90.00,362.00,79.00,147.00,1
14,1,385.00,374.00,67.00,179.00,1
14,2,96.00,363.00,71.00,145.00,1
15,1,396.00,373.00,56.00,179.00,1
15,2,104.00,363.00,67.00,144.00,1
16,1,403.00,370.00,50.00,172.00,1
16,2,118.00,359.00,57.00,145.00,1
17,1,410.00,366.00,49.00,173.00,1
17,2,125.00,355.00,56.00,147.00,1
18,1,412.00,366.00,57.00,172.00,1
18,2,131.00,356.00,55.00,148.00,1
19,1,412.00,367.00,74.00,170.00,1
19,2,134.00,356.00,73.00,147.00,1
20,1,412.00,368.00,79.00,170.00,1
20,2,134.00,358.00,81.00,146.00,1
21,1,415.00,369.00,77.00,168.00,1
21,2,135.00,359.00,88.00,144.00,1
22,1,418.00,368.00,73.00,167.00,1
22,2,137.00,359.00,80.00,144.00,1
23,1,429.00,368.00,62.00,163.00,1
23,2,145.00,360.00,74.00,142.00,1
24,1,440.00,369.00,56.00,156.00,1
24,2,163.00,360.00,56.00,137.00,1
25,1,448.00,368.00,55.00,156.00,1
25,2,168.00,358.00,53.00,139.00,1
26,1,453.00,365.00,58.00,159.00,1
26,2,168.00,358.00,53.00,139.00,1
27,1,453.00,365.00,64.00,160.00,1
28,1,452.00,363.00,67.00,163.00,1
28,2,176.00,356.00,59.00,143.00,1
29,1,452.00,365.00,71.00,162.00,1
29,2,180.00,356.00,70.00,143.00,1
30,1,455.00,365.00,72.00,159.00,1
30,2,182.00,358.00,77.00,142.00,1
31,1,457.00,366.00,71.00,157.00,1
31,2,183.00,359.00,81.00,140.00,1
32,1,461.00,366.00,66.00,158.00,1
32,2,184.00,359.00,75.00,140.00,1
33,1,465.00,366.00,59.00,158.00,1
33,2,186.00,358.00,73.00,142.00,1
34,1,477.00,364.00,50.00,158.00,1
34,2,194.00,357.00,63.00,142.00,1
35,1,483.00,362.00,45.00,154.00,1
35,2,206.00,355.00,56.00,141.00,1
36,1,490.00,360.00,40.00,156.00,1
36,2,218.00,353.00,50.00,143.00,1
37,1,491.00,358.00,41.00,151.00,1
37,2,222.00,353.00,49.00,142.00,1
38,1,493.00,359.00,53.00,151.00,1
38,2,226.00,351.00,50.00,143.00,1
39,1,494.00,360.00,60.00,150.00,1
39,2,226.00,353.00,69.00,141.00,1
40,1,496.00,361.00,57.00,147.00,1
40,2,228.00,356.00,74.00,138.00,1
41,1,500.00,361.00,56.00,145.00,1
41,2,230.00,355.00,67.00,138.00,1
42,1,508.00,362.00,47.00,142.00,1
42,2,238.00,356.00,66.00,135.00,1
43,1,514.00,360.00,46.00,139.00,1
43,2,253.00,357.00,52.00,131.00,1
44,1,519.00,360.00,48.00,140.00,1
44,2,258.00,356.00,45.00,132.00,1
45,1,521.00,359.00,52.00,142.00,1
45,2,260.00,354.00,45.00,133.00,1
46,1,523.00,357.00,54.00,143.00,1
46,2,263.00,354.00,45.00,135.00,1
47,1,522.00,357.00,57.00,143.00,1
47,2,265.00,354.00,46.00,136.00,1
48,1,523.00,359.00,61.00,142.00,1
48,2,267.00,354.00,54.00,136.00,1
49,1,526.00,359.00,64.00,141.00,1
49,2,266.00,356.00,70.00,134.00,1
50,1,528.00,361.00,64.00,140.00,1
50,2,267.00,356.00,74.00,133.00,1
51,1,531.00,358.00,62.00,141.00,1
51,2,272.00,358.00,70.00,132.00,1
52,1,535.00,359.00,58.00,142.00,1
52,2,276.00,356.00,64.00,133.00,1
53,1,537.00,359.00,54.00,138.00,1
53,2,281.00,357.00,57.00,132.00,1
54,1,541.00,357.00,50.00,138.00,1
54,2,295.00,355.00,46.00,131.00,1
55,1,544.00,354.00,48.00,140.00,1
55,2,302.00,353.00,44.00,132.00,1
56,1,549.00,352.00,46.00,139.00,1
56,2,305.00,351.00,46.00,133.00,1
57,1,552.00,353.00,49.00,138.00,1
57,2,309.00,350.00,49.00,133.00,1
58,1,554.00,355.00,53.00,136.00,1
58,2,306.00,352.00,67.00,132.00,1
59,1,557.00,354.00,52.00,135.00,1
59,2,306.00,352.00,74.00,131.00,1
60,1,558.00,356.00,51.00,134.00,1
60,2,312.00,354.00,72.00,130.00,1
61,1,563.00,356.00,50.00,132.00,1
61,2,315.00,354.00,64.00,130.00,1
62,1,569.00,355.00,50.00,127.00,1
62,2,318.00,353.00,61.00,129.00,1
63,1,573.00,354.00,52.00,127.00,1
63,2,335.00,354.00,46.00,125.00,1
64,1,575.00,354.00,56.00,128.00,1
64,2,339.00,352.00,44.00,127.00,1
65,1,575.00,353.00,59.00,130.00,1
65,2,342.00,351.00,44.00,129.00,1
66,1,576.00,352.00,60.00,132.00,1
66,2,344.00,351.00,47.00,129.00,1
67,1,574.00,352.00,64.00,132.00,1
67,2,347.00,351.00,50.00,129.00,1
68,1,575.00,352.00,63.00,131.00,1
68,2,348.00,352.00,55.00,130.00,1
69,1,576.00,353.00,63.00,129.00,1
69,2,350.00,352.00,64.00,129.00,1
70,1,580.00,353.00,60.00,130.00,1
70,2,349.00,354.00,67.00,128.00,1
71,1,583.00,352.00,54.00,129.00,1
71,2,351.00,352.00,65.00,129.00,1
72,1,588.00,352.00,50.00,130.00,1
72,2,355.00,353.00,59.00,128.00,1
73,1,594.00,351.00,46.00,128.00,1
73,2,366.00,352.00,50.00,128.00,1
74,1,598.00,348.00,42.00,129.00,1
74,2,373.00,352.00,43.00,128.00,1
75,1,600.00,348.00,40.00,126.00,1
75,2,380.00,350.00,41.00,130.00,1
76,1,600.00,347.00,41.00,125.00,1
76,2,382.00,349.00,43.00,130.00,1
77,1,602.00,348.00,47.00,125.00,1
77,2,383.00,348.00,51.00,129.00,1
78,1,606.00,348.00,43.00,125.00,1
78,2,384.00,349.00,63.00,127.00,1
79,1,611.00,349.00,40.00,123.00,1
79,2,388.00,351.00,62.00,126.00,1
80,1,613.00,351.00,40.00,118.00,1
80,2,391.00,351.00,59.00,125.00,1
81,1,617.00,350.00,39.00,117.00,1
81,2,399.00,352.00,54.00,122.00,1
82,1,620.00,350.00,44.00,116.00,1
82,2,407.00,351.00,45.00,121.00,1
83,1,621.00,348.00,49.00,117.00,1
83,2,412.00,352.00,42.00,120.00,1
84,1,623.00,347.00,50.00,119.00,1
84,2,414.00,351.00,41.00,122.00,1
85,1,623.00,348.00,52.00,118.00,1
85,2,416.00,350.00,44.00,124.00,1
86,1,622.00,348.00,55.00,117.00,1
86,2,417.00,349.00,46.00,123.00,1
87,1,624.00,349.00,56.00,116.00,1
87,2,418.00,351.00,52.00,122.00,1
88,1,625.00,351.00,55.00,114.00,1
88,2,419.00,351.00,58.00,121.00,1
89,1,628.00,350.00,54.00,115.00,1
89,2,420.00,353.00,59.00,120.00,1
90,1,630.00,349.00,54.00,115.00,1
90,2,425.00,353.00,56.00,120.00,1
91,1,632.00,350.00,50.00,114.00,1
91,2,430.00,351.00,51.00,121.00,1
92,1,633.00,349.00,48.00,114.00,1
92,2,434.00,352.00,47.00,120.00,1
93,1,633.00,345.00,47.00,115.00,1
93,2,441.00,351.00,43.00,120.00,1
94,1,636.00,344.00,46.00,116.00,1
94,2,446.00,347.00,44.00,121.00,1
95,1,640.00,345.00,44.00,114.00,1
95,2,449.00,347.00,45.00,122.00,1
96,1,643.00,345.00,44.00,113.00,1
96,2,452.00,347.00,51.00,121.00,1
97,1,646.00,347.00,41.00,112.00,1
97,2,453.00,348.00,60.00,121.00,1
98,1,649.00,347.00,42.00,112.00,1
98,2,454.00,348.00,61.00,121.00,1
