frame,ped_id,world_pX,world_pZ,world_pY,bb_left,bb_top,bb_w,bb_h
1,1,-3.0609,4.6854,1.6485,113.68,290.74,50.00,150.00
1,2,0.9233,3.5713,2.0285,478.42,377.20,50.00,150.00
2,1,-3.0607,4.6959,1.6485,114.29,290.42,50.00,150.00
2,2,0.9140,3.5695,2.0285,477.42,377.32,50.00,150.00
3,1,-3.0604,4.7116,1.6485,115.18,289.95,50.00,150.00
3,2,0.9000,3.5668,2.0285,475.93,377.49,50.00,150.00
4,1,-3.0600,4.7326,1.6485,116.37,289.33,50.00,150.00
4,2,0.8813,3.5632,2.0285,473.93,377.72,50.00,150.00
5,1,-3.0595,4.7588,1.6485,117.84,288.56,50.00,150.00
5,2,0.8579,3.5586,2.0285,471.43,378.01,50.00,150.00
6,1,-3.0589,4.7903,1.6485,119.58,287.65,50.00,150.00
6,2,0.8298,3.5532,2.0285,468.42,378.36,50.00,150.00
7,1,-3.0582,4.8270,1.6485,121.58,286.61,50.00,150.00
7,2,0.7971,3.5469,2.0285,464.89,378.76,50.00,150.00
8,1,-3.0574,4.8690,1.6485,123.83,285.43,50.00,150.00
8,2,0.7597,3.5397,2.0285,460.85,379.23,50.00,150.00
9,1,-3.0565,4.9162,1.6485,126.31,284.13,50.00,150.00
9,2,0.7176,3.5315,2.0285,456.28,379.76,50.00,150.00
10,1,-3.0555,4.9686,1.6485,129.02,282.71,50.00,150.00
10,2,0.6709,3.5225,2.0285,451.18,380.35,50.00,150.00
11,1,-3.0544,5.0263,1.6485,131.93,281.19,50.00,150.00
11,2,0.6194,3.5125,2.0285,445.54,381.00,50.00,150.00
12,1,-3.0531,5.0892,1.6485,135.03,279.57,50.00,150.00
12,2,0.5633,3.5017,2.0285,439.35,381.72,50.00,150.00
13,1,-3.0518,5.1574,1.6485,138.30,277.86,50.00,150.00
13,2,0.5026,3.4900,2.0285,432.60,382.50,50.00,150.00
14,1,-3.0505,5.2284,1.6485,141.62,276.12,50.00,150.00
14,2,0.4392,3.4777,2.0285,425.52,383.31,50.00,150.00
15,1,-3.0491,5.2995,1.6485,144.86,274.43,50.00,150.00
15,2,0.3759,3.4655,2.0285,418.39,384.14,50.00,150.00
16,1,-3.0477,5.3705,1.6485,148.00,272.78,50.00,150.00
16,2,0.3125,3.4532,2.0285,411.20,384.97,50.00,150.00
17,1,-3.0464,5.4415,1.6485,151.07,271.18,50.00,150.00
17,2,0.2492,3.4410,2.0285,403.97,385.81,50.00,150.00
18,1,-3.0450,5.5125,1.6485,154.05,269.62,50.00,150.00
18,2,0.1859,3.4287,2.0285,396.68,386.65,50.00,150.00
19,1,-3.0436,5.5836,1.6485,156.96,268.10,50.00,150.00
19,2,0.1225,3.4165,2.0285,389.35,387.50,50.00,150.00
20,1,-3.0423,5.6546,1.6485,159.79,266.61,50.00,150.00
20,2,0.0592,3.4042,2.0285,381.95,388.35,50.00,150.00
21,1,-3.0409,5.7256,1.6485,162.56,265.17,50.00,150.00
21,2,-0.0042,3.3920,2.0285,374.51,389.21,50.00,150.00
22,1,-3.0395,5.7967,1.6485,165.26,263.76,50.00,150.00
22,2,-0.0675,3.3797,2.0285,367.01,390.08,50.00,150.00
23,1,-3.0382,5.8677,1.6485,167.89,262.38,50.00,150.00
23,2,-0.1308,3.3675,2.0285,359.46,390.95,50.00,150.00
24,1,-3.0368,5.9387,1.6485,170.46,261.03,50.00,150.00
24,2,-0.1942,3.3552,2.0285,351.85,391.83,50.00,150.00
25,1,-3.0354,6.0098,1.6485,172.97,259.72,50.00,150.00
25,2,-0.2575,3.3430,2.0285,344.19,392.72,50.00,150.00
26,1,-3.0341,6.0808,1.6485,175.42,258.44,50.00,150.00
26,2,-0.3209,3.3308,2.0285,336.47,393.61,50.00,150.00
27,1,-3.0327,6.1518,1.6485,177.81,257.19,50.00,150.00
27,2,-0.3842,3.3185,2.0285,328.69,394.51,50.00,150.00
28,1,-3.0313,6.2228,1.6485,180.15,255.96,50.00,150.00
28,2,-0.4475,3.3063,2.0285,320.86,395.41,50.00,150.00
29,1,-3.0300,6.2939,1.6485,182.43,254.77,50.00,150.00
29,2,-0.5109,3.2940,2.0285,312.96,396.33,50.00,150.00
30,1,-3.0286,6.3649,1.6485,184.67,253.60,50.00,150.00
30,2,-0.5742,3.2818,2.0285,305.01,397.24,50.00,150.00
31,1,-3.0272,6.4359,1.6485,186.86,252.46,50.00,150.00
31,2,-0.6376,3.2695,2.0285,297.00,398.17,50.00,150.00
32,1,-3.0259,6.5070,1.6485,188.99,251.34,50.00,150.00
32,2,-0.7009,3.2573,2.0285,288.93,399.10,50.00,150.00
33,1,-3.0245,6.5780,1.6485,191.08,250.24,50.00,150.00
33,2,-0.7642,3.2450,2.0285,280.80,400.04,50.00,150.00
