frame,track_id,world_pX,world_pZ,world_pY,cov_00,cov_01,cov_02,cov_10,cov_11,cov_12,cov_20,cov_21,cov_22
3,1,0.874072,3.474732,1.993659,0.002192,0.000000,0.000000,0.000000,0.001247,0.000001,0.000000,0.000001,0.008260
3,2,-3.017743,4.591341,1.673223,0.002194,-0.000002,0.000000,-0.000002,0.001280,-0.000001,0.000000,-0.000001,0.008262
4,1,0.852930,3.475929,2.007162,0.001972,0.000017,-0.000000,0.000017,0.000988,-0.000000,-0.000000,-0.000000,0.007002
4,2,-3.009365,4.627607,1.693630,0.002018,0.000023,-0.000000,0.000023,0.001540,0.000001,-0.000000,0.000001,0.007066
5,1,0.816649,3.478339,2.021266,0.001839,0.000022,-0.000000,0.000022,0.000934,0.000001,-0.000000,0.000001,0.006039
5,2,-2.967899,4.635307,1.677743,0.001918,-0.000034,-0.000008,-0.000034,0.001164,-0.000021,-0.000008,-0.000021,0.006151
6,1,0.766100,3.493418,2.042427,0.001775,0.000003,0.000000,0.000003,0.001094,0.000003,0.000000,0.000003,0.005320
6,2,-2.932852,4.639964,1.670407,0.001798,-0.000138,-0.000006,-0.000138,0.000988,-0.000018,-0.000006,-0.000018,0.005444
7,1,0.704742,3.479180,2.039149,0.001736,-0.000032,0.000002,-0.000032,0.001345,0.000002,0.000002,0.000002,0.004772
7,2,-2.905211,4.655011,1.675240,0.001739,-0.000129,-0.000002,-0.000129,0.001100,-0.000007,-0.000002,-0.000007,0.004911
8,1,0.663001,3.462664,2.031107,0.001702,-0.000000,0.000000,-0.000000,0.001516,0.000002,0.000000,0.000002,0.004345
8,2,-2.885706,4.680971,1.691806,0.001716,-0.000025,-0.000000,-0.000025,0.001214,0.000006,-0.000000,0.000006,0.004496
9,1,0.630332,3.469999,2.032007,0.001687,0.000034,-0.000001,0.000034,0.001494,-0.000001,-0.000001,-0.000001,0.004007
9,2,-2.867358,4.707395,1.699139,0.001625,0.000116,-0.000000,0.000116,0.001282,0.000002,-0.000000,0.000002,0.004148
10,1,0.599197,3.481328,2.035173,0.001685,0.000032,-0.000001,0.000032,0.001398,-0.000001,-0.000001,-0.000001,0.003739
10,2,-2.857164,4.740462,1.712525,0.001517,0.000168,-0.000001,0.000168,0.001410,0.000003,-0.000001,0.000003,0.003874
11,1,0.560608,3.516447,2.045219,0.001677,0.000003,-0.000001,0.000003,0.001360,0.000004,-0.000001,0.000004,0.003550
11,2,-2.853548,4.778557,1.726068,0.001417,0.000152,-0.000002,0.000152,0.001516,0.000002,-0.000002,0.000002,0.003650
12,1,0.526918,3.526853,2.049541,0.007086,-0.000592,-0.000002,-0.000592,0.004199,0.000005,-0.000002,0.000005,0.005674
12,2,-2.864685,4.825654,1.737147,0.001379,0.000085,-0.000002,0.000085,0.001588,0.000001,-0.000002,0.000001,0.003472
13,2,-2.891713,4.946055,1.742012,0.001459,0.000010,-0.000001,0.000010,0.001849,-0.000008,-0.000001,-0.000008,0.003423
14,2,-2.907228,4.997253,1.741438,0.001736,0.000076,-0.000007,0.000076,0.001714,-0.000002,-0.000007,-0.000002,0.003309
15,2,-2.935015,5.053218,1.730747,0.001679,0.000017,-0.000008,0.000017,0.001700,-0.000002,-0.000008,-0.000002,0.003233
16,1,0.243353,3.364761,1.987959,0.002499,-0.000001,-0.000000,-0.000001,0.002496,-0.000000,-0.000000,-0.000000,0.009927
16,2,-2.990119,5.177373,1.704479,0.001630,-0.000065,0.000002,-0.000065,0.001812,-0.000057,0.000002,-0.000057,0.003309
17,1,0.194791,3.337411,1.975129,0.002475,0.000015,0.000001,0.000015,0.002428,-0.000002,0.000001,-0.000002,0.007477
17,2,-3.011277,5.272418,1.687044,0.001708,0.000005,-0.000022,0.000005,0.001752,-0.000021,-0.000022,-0.000021,0.003283
18,1,0.135260,3.320962,1.975675,0.001748,0.000249,-0.000001,0.000249,0.001783,0.000002,-0.000001,0.000002,0.006956
18,2,-3.018672,5.372935,1.683371,0.001673,-0.000012,-0.000014,-0.000012,0.001721,-0.000006,-0.000014,-0.000006,0.003240
19,1,0.055666,3.321938,1.971099,0.001796,0.000176,-0.000001,0.000176,0.001529,-0.000001,-0.000001,-0.000001,0.006311
19,2,-3.004324,5.448239,1.682195,0.001634,-0.000029,-0.000006,-0.000029,0.001719,0.000000,-0.000006,0.000000,0.003232
20,1,-0.010142,3.198654,1.918972,0.002016,0.000081,-0.000010,0.000081,0.002114,0.000015,-0.000010,0.000015,0.005756
20,2,-2.998616,5.512512,1.692126,0.001525,-0.000032,-0.000001,-0.000032,0.001708,-0.000003,-0.000001,-0.000003,0.003214
21,1,-0.048105,3.167556,1.880970,0.001585,0.000226,0.000014,0.000226,0.001562,0.000004,0.000014,0.000004,0.005168
21,2,-2.985820,5.583716,1.703413,0.001464,-0.000021,0.000000,-0.000021,0.001686,-0.000001,0.000000,-0.000001,0.003193
22,1,-0.099796,3.216535,1.892387,0.001856,0.000003,-0.000017,0.000003,0.001846,0.000033,-0.000017,0.000033,0.004796
22,2,-2.969463,5.680413,1.718785,0.001456,-0.000004,-0.000001,-0.000004,0.001683,0.000006,-0.000001,0.000006,0.003174
