frame,track_id,world_pX,world_pZ,world_pY,cov_00,cov_01,cov_02,cov_10,cov_11,cov_12,cov_20,cov_21,cov_22
3,1,-0.284135,4.966916,1.637813,0.002203,0.000000,0.000000,0.000000,0.001712,0.000001,0.000000,0.000001,0.008271
3,2,1.442530,4.404960,1.646507,0.002323,0.000000,-0.000000,0.000000,0.002166,-0.000000,-0.000000,-0.000000,0.008427
3,3,-3.350849,4.762144,1.695171,0.002192,-0.000004,0.000000,-0.000004,0.001233,-0.000000,0.000000,-0.000000,0.008259
3,4,1.988295,3.306916,1.595291,0.002322,0.000000,0.000000,0.000000,0.002191,0.000000,0.000000,0.000000,0.008423
4,1,-0.268784,4.999484,1.630385,0.001998,-0.000027,-0.000000,-0.000027,0.001735,-0.000000,-0.000000,-0.000000,0.007037
4,2,1.474980,4.395209,1.656361,0.002237,-0.000017,0.000000,-0.000017,0.002185,0.000000,0.000000,0.000000,0.007514
4,3,-3.362094,4.764170,1.705472,0.001973,0.000009,0.000000,0.000009,0.000921,0.000000,0.000000,0.000000,0.007001
4,4,1.989063,3.305770,1.593992,0.002226,-0.000018,-0.000000,-0.000018,0.002192,-0.000000,-0.000000,-0.000000,0.007503
5,1,-0.253912,5.029227,1.624967,0.001869,-0.000015,-0.000000,-0.000015,0.001714,-0.000000,-0.000000,-0.000000,0.006091
5,2,1.516895,4.388468,1.659023,0.002170,-0.000025,0.000000,-0.000025,0.002198,0.000001,0.000000,0.000001,0.007015
5,3,-3.324155,4.762405,1.699700,0.001866,0.000013,-0.000001,0.000013,0.000778,0.000000,-0.000001,0.000000,0.006038
5,4,1.987146,3.291666,1.592762,0.002141,-0.000033,-0.000000,-0.000033,0.002155,-0.000000,-0.000000,-0.000000,0.006967
6,1,-0.277625,5.082349,1.640323,0.001849,-0.000015,-0.000002,-0.000015,0.001664,0.000003,-0.000002,0.000003,0.005384
6,2,1.522221,4.414128,1.660532,0.002083,-0.000001,0.000000,-0.000001,0.002122,0.000001,0.000000,0.000001,0.006701
6,3,-3.262193,4.764722,1.679046,0.001843,0.000022,-0.000002,0.000022,0.000711,-0.000001,-0.000002,-0.000001,0.005310
6,4,2.022876,3.233859,1.575846,0.002053,0.000005,-0.000000,0.000005,0.002061,-0.000001,-0.000000,-0.000001,0.006573
7,1,-0.284469,5.116610,1.652260,0.001808,0.000008,-0.000000,0.000008,0.001516,0.000001,-0.000000,0.000001,0.004831
7,2,1.530163,4.435047,1.662578,0.002088,0.000025,-0.000000,0.000025,0.002049,-0.000000,-0.000000,-0.000000,0.006377
7,3,-3.227380,4.756398,1.663346,0.001741,0.000014,0.000000,0.000014,0.001067,0.000002,0.000000,0.000002,0.004757
7,4,2.022678,3.209779,1.560518,0.002048,0.000009,0.000004,0.000009,0.002019,-0.000001,0.000004,-0.000001,0.006188
8,1,-0.288846,5.131368,1.659401,0.001768,0.000013,0.000001,0.000013,0.001450,-0.000001,0.000001,-0.000001,0.004405
8,2,1.531483,4.434061,1.663148,0.002025,0.000025,-0.000000,0.000025,0.001979,-0.000000,-0.000000,-0.000000,0.005932
8,3,-3.218195,4.747706,1.653848,0.001715,-0.000015,-0.000000,-0.000015,0.001390,0.000001,-0.000000,0.000001,0.004327
8,4,2.018746,3.210900,1.553375,0.002013,0.000021,0.000000,0.000021,0.001962,0.000001,0.000000,0.000001,0.005723
9,1,-0.291971,5.140169,1.670045,0.001735,-0.000006,0.000001,-0.000006,0.001427,-0.000003,0.000001,-0.000003,0.004073
9,2,1.558559,4.576246,1.706511,0.001973,-0.000024,0.000022,-0.000024,0.002243,0.000029,0.000022,0.000029,0.005649
9,3,-3.201140,4.752083,1.645511,0.001691,-0.000048,-0.000001,-0.000048,0.001375,-0.000000,-0.000001,-0.000000,0.003988
9,4,1.978556,3.135338,1.524017,0.002003,0.000032,0.000009,0.000032,0.001929,0.000007,0.000009,0.000007,0.005316
10,1,-0.294582,5.155269,1.681004,0.001708,-0.000034,0.000001,-0.000034,0.001413,-0.000001,0.000001,-0.000001,0.003804
10,2,1.578168,4.627880,1.728558,0.001680,-0.000112,-0.000005,-0.000112,0.002144,-0.000014,-0.000005,-0.000014,0.005190
10,3,-3.173426,4.774764,1.645072,0.001684,-0.000032,0.000000,-0.000032,0.001339,0.000002,0.000000,0.000002,0.003731
10,4,1.992137,3.185482,1.530914,0.001920,0.000041,0.000009,0.000041,0.001899,0.000002,0.000009,0.000002,0.004976
11,1,-0.287894,5.171762,1.690560,0.001693,-0.000039,0.000001,-0.000039,0.001411,-0.000000,0.000001,-0.000000,0.003590
11,2,1.562600,4.562044,1.710788,0.001951,0.000029,0.000040,0.000029,0.002074,0.000023,0.000040,0.000023,0.005142
11,3,-3.142972,4.794794,1.650510,0.001661,0.000043,0.000001,0.000043,0.001315,0.000003,0.000001,0.000003,0.003519
11,4,2.006027,3.187543,1.534369,0.001859,0.000022,0.000003,0.000022,0.001890,-0.000011,0.000003,-0.000011,0.004635
12,1,-0.294004,5.304114,1.710804,0.001791,-0.000026,0.000000,-0.000026,0.002148,0.000059,0.000000,0.000059,0.003793
12,2,1.449052,4.574303,1.682713,0.001976,-0.000012,0.000029,-0.000012,0.001872,0.000006,0.000029,0.000006,0.005040
12,3,-3.058324,4.820022,1.660891,0.001747,0.000104,0.000015,0.000104,0.001384,0.000002,0.000015,0.000002,0.003391
12,4,2.043482,3.077043,1.533678,0.001724,-0.000063,-0.000002,-0.000063,0.002248,-0.000020,-0.000002,-0.000020,0.004412
13,1,-0.307619,5.372105,1.726027,0.001630,0.000082,0.000000,0.000082,0.001477,0.000016,0.000000,0.000016,0.003611
13,2,1.405749,4.565143,1.665070,0.001929,-0.000081,-0.000051,-0.000081,0.001796,0.000005,-0.000051,0.000005,0.004751
13,3,-3.024112,4.830662,1.668679,0.001686,0.000017,0.000001,0.000017,0.001620,-0.000003,0.000001,-0.000003,0.003261
13,4,2.058540,3.053520,1.533508,0.001538,-0.000098,-0.000006,-0.000098,0.002012,-0.000008,-0.000006,-0.000008,0.004155
14,1,-0.317660,5.409954,1.736633,0.001566,0.000122,0.000004,0.000122,0.001488,-0.000004,0.000004,-0.000004,0.003516
14,2,1.392393,4.564427,1.652603,0.001945,-0.000030,-0.000044,-0.000030,0.001808,0.000008,-0.000044,0.000008,0.004564
14,3,-3.018870,4.828127,1.674026,0.001718,0.000051,-0.000005,0.000051,0.001587,-0.000005,-0.000005,-0.000005,0.003180
14,4,2.064385,3.049651,1.533871,0.001498,-0.000113,-0.000007,-0.000113,0.001908,-0.000003,-0.000007,-0.000003,0.003958
15,1,-0.331384,5.463933,1.746692,0.001567,0.000139,0.000002,0.000139,0.001471,-0.000003,0.000002,-0.000003,0.003451
15,2,1.385386,4.576307,1.646476,0.001824,0.000055,-0.000018,0.000055,0.001778,0.000008,-0.000018,0.000008,0.004349
