frame,ped_id,world_pX,world_pZ,world_pY,bb_left,bb_top,bb_w,bb_h
1,1,0.8953,3.8121,1.6485,468.94,322.97,50.00,150.00
1,2,-1.2008,3.3074,1.9285,229.78,383.23,50.00,150.00
2,1,0.8887,3.8067,1.6485,468.38,323.22,50.00,150.00
2,2,-1.2069,3.2987,1.9285,228.65,383.85,50.00,150.00
3,1,0.8788,3.7985,1.6485,467.54,323.59,50.00,150.00
3,2,-1.2161,3.2857,1.9285,226.95,384.78,50.00,150.00
4,1,0.8655,3.7876,1.6485,466.40,324.09,50.00,150.00
4,2,-1.2284,3.2683,1.9285,224.66,386.03,50.00,150.00
5,1,0.8490,3.7740,1.6485,464.98,324.72,50.00,150.00
5,2,-1.2438,3.2465,1.9285,221.76,387.61,50.00,150.00
6,1,0.8291,3.7577,1.6485,463.25,325.48,50.00,150.00
6,2,-1.2622,3.2204,1.9285,218.22,389.53,50.00,150.00
7,1,0.8059,3.7386,1.6485,461.22,326.38,50.00,150.00
7,2,-1.2837,3.1900,1.9285,214.03,391.82,50.00,150.00
8,1,0.7794,3.7168,1.6485,458.88,327.41,50.00,150.00
8,2,-1.3083,3.1552,1.9285,209.14,394.49,50.00,150.00
9,1,0.7496,3.6923,1.6485,456.21,328.59,50.00,150.00
9,2,-1.3360,3.1161,1.9285,203.50,397.56,50.00,150.00
10,1,0.7165,3.6650,1.6485,453.19,329.92,50.00,150.00
10,2,-1.3667,3.0726,1.9285,197.07,401.06,50.00,150.00
11,1,0.6800,3.6351,1.6485,449.83,331.40,50.00,150.00
11,2,-1.4006,3.0247,1.9285,189.79,405.03,50.00,150.00
12,1,0.6403,3.6024,1.6485,446.10,333.05,50.00,150.00
12,2,-1.4374,2.9725,1.9285,181.57,409.51,50.00,150.00
13,1,0.5972,3.5670,1.6485,441.97,334.86,50.00,150.00
13,2,-1.4774,2.9160,1.9285,172.34,414.54,50.00,150.00
14,1,0.5524,3.5301,1.6485,437.59,336.79,50.00,150.00
14,2,-1.5190,2.8571,1.9285,162.33,420.00,50.00,150.00
15,1,0.5075,3.4932,1.6485,433.11,338.77,50.00,150.00
15,2,-1.5607,2.7982,1.9285,151.91,425.68,50.00,150.00
16,1,0.4626,3.4563,1.6485,428.54,340.78,50.00,150.00
16,2,-1.6023,2.7393,1.9285,141.03,431.60,50.00,150.00
17,1,0.4178,3.4194,1.6485,423.87,342.84,50.00,150.00
17,2,-1.6439,2.6804,1.9285,129.68,437.79,50.00,150.00
18,1,0.3729,3.3825,1.6485,419.10,344.95,50.00,150.00
18,2,-1.6855,2.6215,1.9285,117.82,444.26,50.00,150.00
19,1,0.3281,3.3456,1.6485,414.22,347.10,50.00,150.00
20,1,0.2832,3.3087,1.6485,409.24,349.30,50.00,150.00
21,1,0.2383,3.2718,1.6485,404.14,351.54,50.00,150.00
22,1,0.1935,3.2349,1.6485,398.92,353.84,50.00,150.00
