frame,track_id,world_pX,world_pZ,world_pY,cov_00,cov_01,cov_02,cov_10,cov_11,cov_12,cov_20,cov_21,cov_22
3,1,-1.054744,4.090362,1.668265,0.002260,-0.000001,0.000000,-0.000001,0.002457,-0.000000,0.000000,-0.000000,0.008326
3,2,-3.256125,5.434498,1.679784,0.002222,-0.000004,-0.000000,-0.000004,0.001863,0.000004,-0.000000,0.000004,0.008295
3,3,-1.831655,4.308706,1.665473,0.002329,-0.000031,-0.000000,-0.000031,0.002211,0.000000,-0.000000,0.000000,0.008404
4,1,-1.055962,4.086619,1.664796,0.002141,0.000021,0.000000,0.000021,0.002201,-0.000000,0.000000,-0.000000,0.007135
4,2,-3.225639,5.414716,1.662103,0.002058,-0.000090,-0.000001,-0.000090,0.001898,0.000009,-0.000001,0.000009,0.007149
4,3,-1.916774,4.245714,1.660732,0.002293,0.000011,-0.000000,0.000011,0.002310,-0.000000,-0.000000,-0.000000,0.007467
5,1,-1.050220,4.091287,1.661982,0.002258,-0.000007,0.000001,-0.000007,0.002051,-0.000000,0.000001,-0.000000,0.006215
5,2,-3.205103,5.403586,1.647865,0.001946,-0.000048,-0.000001,-0.000048,0.001840,0.000001,-0.000001,0.000001,0.006257
5,3,-1.916760,4.203641,1.653093,0.002213,0.000052,-0.000001,0.000052,0.002265,0.000000,-0.000001,0.000000,0.006880
6,1,-0.925824,3.849805,1.593640,0.002496,0.000076,-0.000053,0.000076,0.002352,0.000034,-0.000053,0.000034,0.005948
6,2,-3.193893,5.439272,1.629012,0.001865,0.000020,-0.000002,0.000020,0.001881,-0.000005,-0.000002,-0.000005,0.005580
6,3,-1.946927,4.160939,1.666077,0.002068,0.000034,-0.000001,0.000034,0.002203,-0.000000,-0.000001,-0.000000,0.006405
7,1,-0.922098,3.795091,1.557204,0.002280,0.000114,0.000005,0.000114,0.002168,-0.000016,0.000005,-0.000016,0.005859
7,2,-3.184956,5.451496,1.619346,0.001785,-0.000026,-0.000002,-0.000026,0.001771,0.000000,-0.000002,0.000000,0.005023
7,3,-1.933712,4.179853,1.673122,0.002160,-0.000024,-0.000000,-0.000024,0.002101,-0.000003,-0.000000,-0.000003,0.005981
8,1,-0.913745,3.777902,1.540685,0.002196,-0.000063,0.000017,-0.000063,0.002060,-0.000016,0.000017,-0.000016,0.005763
