frame,track_id,world_pX,world_pZ,world_pY,cov_00,cov_01,cov_02,cov_10,cov_11,cov_12,cov_20,cov_21,cov_22
3,1,-1.053813,4.087129,1.663252,0.007191,0.000000,0.000000,0.000000,0.041762,0.000000,0.000000,0.000000,0.007191
3,2,-3.251892,5.402457,1.672696,0.007168,0.000000,0.000000,0.000000,0.072966,0.000000,0.000000,0.000000,0.007168
3,3,-1.797827,4.266423,1.663993,0.007175,0.000000,0.000000,0.000000,0.045506,0.000000,0.000000,0.000000,0.007175
4,1,-1.050283,4.076447,1.657509,0.007004,0.000000,0.000000,0.000000,0.041544,0.000000,0.000000,0.000000,0.007004
4,2,-3.217411,5.374228,1.649154,0.006858,0.000000,0.000000,0.000000,0.072206,0.000000,0.000000,0.000000,0.006858
4,3,-1.863493,4.228275,1.657336,0.006915,0.000000,0.000000,0.000000,0.044696,0.000000,0.000000,0.000000,0.006915
5,1,-1.044202,4.068818,1.657538,0.006448,0.000000,0.000000,0.000000,0.041388,0.000000,0.000000,0.000000,0.006448
5,2,-3.196804,5.382620,1.637305,0.006622,0.000000,0.000000,0.000000,0.072431,0.000000,0.000000,0.000000,0.006622
5,3,-1.888779,4.218357,1.652117,0.006531,0.000000,0.000000,0.000000,0.044486,0.000000,0.000000,0.000000,0.006531
6,1,-0.979098,4.018464,1.637952,0.005957,0.000000,0.000000,0.000000,0.040370,0.000000,0.000000,0.000000,0.005957
6,2,-3.203392,5.448997,1.628617,0.006583,0.000000,0.000000,0.000000,0.074229,0.000000,0.000000,0.000000,0.006583
6,3,-1.936395,4.172580,1.663596,0.006107,0.000000,0.000000,0.000000,0.043526,0.000000,0.000000,0.000000,0.006107
7,1,-0.962814,4.039063,1.646579,0.005940,0.000000,0.000000,0.000000,0.040785,0.000000,0.000000,0.000000,0.005940
7,2,-3.196624,5.455863,1.621213,0.006007,0.000000,0.000000,0.000000,0.074416,0.000000,0.000000,0.000000,0.006007
7,3,-1.964391,4.184787,1.678452,0.006469,0.000000,0.000000,0.000000,0.043781,0.000000,0.000000,0.000000,0.006469
8,1,-0.899340,3.800260,1.549228,0.005208,0.000000,0.000000,0.000000,0.036105,0.000000,0.000000,0.000000,0.005208
8,2,-3.193567,5.455863,1.618565,0.005731,0.000000,0.000000,0.000000,0.074416,0.000000,0.000000,0.000000,0.005731
8,3,-1.989308,4.224460,1.697653,0.006699,0.000000,0.000000,0.000000,0.044615,0.000000,0.000000,0.000000,0.006699
9,1,-0.939036,4.004730,1.639358,0.005738,0.000000,0.000000,0.000000,0.040095,0.000000,0.000000,0.000000,0.005738
9,2,-3.184819,5.490196,1.623639,0.005686,0.000000,0.000000,0.000000,0.075356,0.000000,0.000000,0.000000,0.005686
9,3,-2.034851,4.251163,1.723572,0.006782,0.000000,0.000000,0.000000,0.045181,0.000000,0.000000,0.000000,0.006782
10,1,-0.916191,3.961242,1.627306,0.005579,0.000000,0.000000,0.000000,0.039229,0.000000,0.000000,0.000000,0.005579
