frame,track_id,world_pX,world_pZ,world_pY,cov_00,cov_01,cov_02,cov_10,cov_11,cov_12,cov_20,cov_21,cov_22
3,1,-2.319930,5.024326,1.649308,0.002196,-0.000003,-0.000000,-0.000003,0.001325,0.000001,-0.000000,0.000001,0.008265
3,2,0.321312,4.582757,1.979363,0.002260,0.000003,-0.000000,0.000003,0.002256,-0.000000,-0.000000,-0.000000,0.008340
3,3,1.373850,5.232478,1.638132,0.002262,0.000027,-0.000000,0.000027,0.002186,-0.000001,-0.000000,-0.000001,0.008339
4,1,-2.342055,5.055218,1.664494,0.002007,-0.000001,-0.000000,-0.000001,0.001390,0.000007,-0.000000,0.000007,0.007056
4,2,0.315501,4.579125,1.981820,0.002079,-0.000015,0.000000,-0.000015,0.002083,-0.000000,0.000000,-0.000000,0.007182
4,3,1.384597,5.248757,1.637921,0.002099,-0.000008,0.000000,-0.000008,0.002075,0.000000,0.000000,0.000000,0.007211
5,1,-2.353897,5.076903,1.674896,0.001881,0.000042,-0.000000,0.000042,0.001241,0.000005,-0.000000,0.000005,0.006151
5,2,0.302542,4.486814,1.957381,0.002013,-0.000008,-0.000001,-0.000008,0.002036,0.000006,-0.000001,0.000006,0.006327
5,3,1.401013,5.307565,1.644423,0.001985,-0.000037,-0.000001,-0.000037,0.002026,0.000001,-0.000001,0.000001,0.006360
6,1,-2.374797,5.078154,1.667560,0.001771,0.000081,0.000001,0.000081,0.000806,-0.000003,0.000001,-0.000003,0.005409
6,2,0.306782,4.490422,1.967945,0.001936,0.000030,-0.000003,0.000030,0.001922,0.000002,-0.000003,0.000002,0.005656
6,3,1.482512,5.281662,1.630750,0.001994,-0.000004,-0.000008,-0.000004,0.002017,0.000004,-0.000008,0.000004,0.005763
7,1,-2.382213,5.082767,1.663206,0.001708,0.000111,-0.000000,0.000111,0.000689,-0.000001,-0.000000,-0.000001,0.004843
7,2,0.304663,4.501872,1.973953,0.001872,0.000042,-0.000003,0.000042,0.001891,0.000000,-0.000003,0.000000,0.005112
7,3,1.513838,5.263042,1.623459,0.001832,0.000004,0.000001,0.000004,0.001870,-0.000001,0.000001,-0.000001,0.005209
8,1,-2.386847,5.089632,1.661855,0.001672,0.000125,-0.000000,0.000125,0.000639,-0.000001,-0.000000,-0.000001,0.004402
8,2,0.293076,4.455096,1.962872,0.001910,0.000113,-0.000001,0.000113,0.001847,0.000002,-0.000001,0.000002,0.004691
8,3,1.523658,5.251133,1.618714,0.001834,-0.000017,0.000002,-0.000017,0.001820,-0.000001,0.000002,-0.000001,0.004778
9,1,-2.404045,5.101870,1.664960,0.001654,0.000125,0.000000,0.000125,0.000666,0.000000,0.000000,0.000000,0.004059
9,2,0.292496,4.441646,1.981531,0.001837,0.000120,-0.000001,0.000120,0.001731,-0.000001,-0.000001,-0.000001,0.004339
9,3,1.541073,5.227440,1.623593,0.001799,-0.000013,0.000001,-0.000013,0.001798,0.000001,0.000001,0.000001,0.004415
10,1,-2.435618,5.118013,1.671112,0.001658,0.000136,-0.000001,0.000136,0.000797,0.000004,-0.000001,0.000004,0.003811
10,2,0.271017,4.409309,1.999647,0.001832,0.000143,0.000001,0.000143,0.001697,-0.000002,0.000001,-0.000002,0.004068
10,3,1.576732,5.225963,1.628124,0.001789,0.000043,0.000002,0.000043,0.001799,0.000003,0.000002,0.000003,0.004134
11,1,-2.565484,5.341567,1.726542,0.002159,0.000024,-0.000001,0.000024,0.002071,0.000003,-0.000001,0.000003,0.005031
11,2,0.250127,4.261732,1.988662,0.002144,0.000044,0.000005,0.000044,0.002173,0.000034,0.000005,0.000034,0.004245
11,3,1.680497,5.376406,1.662398,0.002194,0.000305,-0.000044,0.000305,0.002118,0.000092,-0.000044,0.000092,0.004301
12,1,-2.609851,5.316314,1.725220,0.002085,0.000041,0.000001,0.000041,0.001925,0.000003,0.000001,0.000003,0.005705
12,2,0.245103,4.242500,2.014299,0.001972,0.000079,-0.000002,0.000079,0.001558,-0.000002,-0.000002,-0.000002,0.004070
12,3,1.748377,5.382215,1.663875,0.001895,0.000399,-0.000001,0.000399,0.001711,-0.000025,-0.000001,-0.000025,0.004120
13,1,-2.619053,5.311098,1.721089,0.002019,0.000057,-0.000001,0.000057,0.001796,0.000001,-0.000001,0.000001,0.006076
13,2,0.243046,4.231740,2.031059,0.001854,0.000105,-0.000001,0.000105,0.001457,0.000010,-0.000001,0.000010,0.003943
13,3,1.761965,5.377190,1.665380,0.001731,0.000479,-0.000003,0.000479,0.001543,-0.000008,-0.000003,-0.000008,0.004002
14,1,-2.652415,5.349217,1.729502,0.001945,0.000066,-0.000001,0.000066,0.001747,0.000002,-0.000001,0.000002,0.005990
14,2,0.236593,4.199513,2.033638,0.001798,0.000123,0.000006,0.000123,0.001414,-0.000002,0.000006,-0.000002,0.003833
14,3,1.789053,5.404623,1.672644,0.001638,0.000513,-0.000001,0.000513,0.001478,-0.000005,-0.000001,-0.000005,0.003900
15,1,-2.703108,5.396692,1.735421,0.001870,-0.000065,-0.000000,-0.000065,0.001630,0.000003,-0.000000,0.000003,0.005663
15,2,0.262683,4.166749,2.028315,0.001748,0.000104,0.000001,0.000104,0.001407,-0.000001,0.000001,-0.000001,0.003756
15,3,1.833565,5.451817,1.678627,0.001631,0.000508,-0.000004,0.000508,0.001454,-0.000003,-0.000004,-0.000003,0.003834
16,1,-2.797932,5.500247,1.748976,0.002027,-0.000206,-0.000006,-0.000206,0.001846,0.000008,-0.000006,0.000008,0.005373
16,2,0.294219,4.128199,2.016689,0.001725,0.000057,0.000000,0.000057,0.001458,0.000001,0.000000,0.000001,0.003669
16,3,1.886051,5.500903,1.671990,0.001613,0.000534,0.000001,0.000534,0.001345,-0.000004,0.000001,-0.000004,0.003756
17,1,-2.939907,5.667973,1.752809,0.002195,-0.000129,0.000002,-0.000129,0.002233,-0.000006,0.000002,-0.000006,0.005173
17,2,0.326418,4.098213,2.018164,0.007935,0.000361,0.000004,0.000361,0.004930,-0.000014,0.000004,-0.000014,0.006050
17,3,2.006198,5.638985,1.682005,0.001881,0.000444,-0.000015,0.000444,0.001817,0.000015,-0.000015,0.000015,0.003788
18,1,-3.031706,5.544651,1.708881,0.002194,-0.000005,-0.000009,-0.000005,0.002277,0.000090,-0.000009,0.000090,0.005477
18,2,0.511081,3.959778,1.956678,0.002336,0.000039,-0.000029,0.000039,0.002112,-0.000045,-0.000029,-0.000045,0.005827
18,3,2.131800,5.614753,1.665111,0.001801,0.000503,-0.000002,0.000503,0.001397,0.000027,-0.000002,0.000027,0.003789
19,1,-3.035721,5.522592,1.684451,0.002127,-0.000133,0.000026,-0.000133,0.001752,0.000061,0.000026,0.000061,0.005261
19,2,0.544301,3.982055,1.930425,0.001934,0.000018,0.000014,0.000018,0.001916,0.000007,0.000014,0.000007,0.004763
19,3,2.116412,5.608306,1.653164,0.001915,0.000495,-0.000033,0.000495,0.001255,0.000024,-0.000033,0.000024,0.003715
20,1,-3.050696,5.535285,1.675880,0.001987,-0.000148,0.000020,-0.000148,0.001305,0.000006,0.000020,0.000006,0.004922
20,2,0.559113,4.049062,1.937425,0.001831,0.000050,-0.000005,0.000050,0.001827,0.000006,-0.000005,0.000006,0.004297
20,3,2.131258,5.632964,1.648623,0.001850,0.000339,-0.000013,0.000339,0.001118,-0.000006,-0.000013,-0.000006,0.003652
21,1,-3.108642,5.564021,1.677370,0.001951,-0.000183,-0.000001,-0.000183,0.001198,0.000015,-0.000001,0.000015,0.004693
21,2,0.582360,4.072778,1.945539,0.001692,0.000085,-0.000002,0.000085,0.001723,-0.000006,-0.000002,-0.000006,0.004030
21,3,2.183867,5.669645,1.649931,0.001834,0.000229,0.000003,0.000229,0.001090,-0.000001,0.000003,-0.000001,0.003622
22,1,-3.184259,5.613639,1.686914,0.001974,-0.000203,-0.000003,-0.000203,0.001407,0.000027,-0.000003,0.000027,0.004492
22,2,0.609345,4.094115,1.955456,0.001635,0.000094,0.000004,0.000094,0.001673,-0.000009,0.000004,-0.000009,0.003858
22,3,2.241697,5.712461,1.657848,0.001849,0.000238,0.000004,0.000238,0.000975,0.000008,0.000004,0.000008,0.003576
23,1,-3.374551,5.915528,1.753372,0.002254,-0.000000,0.000020,-0.000000,0.002397,0.000110,0.000020,0.000110,0.005613
23,2,0.631373,4.129117,1.953443,0.006491,0.001455,0.000027,0.001455,0.006830,-0.000033,0.000027,-0.000033,0.006522
23,3,2.383216,5.888162,1.687596,0.002365,-0.000272,-0.000103,-0.000272,0.002825,0.000232,-0.000103,0.000232,0.004330
24,1,-3.368479,5.855596,1.723295,0.002185,-0.000016,-0.000005,-0.000016,0.002204,-0.000002,-0.000005,-0.000002,0.006051
24,2,0.869881,4.002172,1.958360,0.002317,0.000142,0.000019,0.000142,0.002287,-0.000002,0.000019,-0.000002,0.006141
24,3,2.592545,5.766248,1.661272,0.002182,0.000015,-0.000022,0.000015,0.002181,0.000030,-0.000022,0.000030,0.005004
25,1,-3.363256,5.842588,1.703587,0.002040,-0.000113,0.000002,-0.000113,0.002046,-0.000004,0.000002,-0.000004,0.006240
25,2,0.918455,4.012336,1.959700,0.002062,0.000017,-0.000004,0.000017,0.002004,-0.000003,-0.000004,-0.000003,0.005048
25,3,2.597977,5.742468,1.643393,0.002152,-0.000096,-0.000016,-0.000096,0.002024,0.000093,-0.000016,0.000093,0.005393
26,1,-3.395789,5.892496,1.705681,0.001852,-0.000257,0.000002,-0.000257,0.001824,-0.000003,0.000002,-0.000003,0.006115
