frame,ped_id,world_pX,world_pZ,world_pY,bb_left,bb_top,bb_w,bb_h
1,1,0.6222,3.9393,1.6485,438.18,317.39,50.00,150.00
1,2,-0.3156,5.7133,1.6485,352.90,265.41,50.00,150.00
1,3,-1.6855,3.9991,1.6485,206.41,314.89,50.00,150.00
1,4,-1.0862,5.3391,1.6485,293.62,273.50,50.00,150.00
1,5,1.2582,5.4724,1.6485,466.97,270.50,50.00,150.00
2,1,0.6235,3.9309,1.6485,438.45,317.75,50.00,150.00
2,2,-0.3131,5.7158,1.6485,353.09,265.36,50.00,150.00
2,3,-1.6822,3.9912,1.6485,206.41,315.21,50.00,150.00
2,4,-1.0944,5.3353,1.6485,292.95,273.59,50.00,150.00
2,5,1.2637,5.4705,1.6485,467.40,270.54,50.00,150.00
3,1,0.6241,3.9180,1.6485,438.72,318.30,50.00,150.00
3,2,-0.3086,5.7222,1.6485,353.43,265.24,50.00,150.00
3,3,-1.6794,3.9784,1.6485,206.15,315.75,50.00,150.00
3,4,-1.1077,5.3315,1.6485,291.89,273.68,50.00,150.00
3,5,1.2730,5.4698,1.6485,468.09,270.55,50.00,150.00
4,1,0.6242,3.9006,1.6485,439.02,319.05,50.00,150.00
4,2,-0.3023,5.7323,1.6485,353.91,265.03,50.00,150.00
4,3,-1.6765,3.9607,1.6485,205.69,316.48,50.00,150.00
4,4,-1.1260,5.3275,1.6485,290.46,273.77,50.00,150.00
4,5,1.2861,5.4699,1.6485,469.05,270.55,50.00,150.00
5,1,0.6241,3.8789,1.6485,439.36,320.00,50.00,150.00
5,2,-0.2944,5.7466,1.6485,354.50,264.75,50.00,150.00
5,3,-1.6731,3.9384,1.6485,205.07,317.43,50.00,150.00
5,4,-1.1492,5.3231,1.6485,288.65,273.88,50.00,150.00
5,5,1.3030,5.4705,1.6485,470.28,270.54,50.00,150.00
6,1,0.6238,3.8527,1.6485,439.76,321.15,50.00,150.00
6,2,-0.2858,5.7651,1.6485,355.17,264.38,50.00,150.00
6,3,-1.6690,3.9113,1.6485,204.31,318.59,50.00,150.00
6,4,-1.1773,5.3183,1.6485,286.45,273.99,50.00,150.00
6,5,1.3237,5.4713,1.6485,471.77,270.52,50.00,150.00
7,1,0.6233,3.8221,1.6485,440.23,322.52,50.00,150.00
7,2,-0.2773,5.7882,1.6485,355.84,263.92,50.00,150.00
7,3,-1.6639,3.8796,1.6485,203.44,319.97,50.00,150.00
7,4,-1.2103,5.3131,1.6485,283.88,274.11,50.00,150.00
7,5,1.3482,5.4721,1.6485,473.55,270.50,50.00,150.00
8,1,0.6227,3.7870,1.6485,440.77,324.12,50.00,150.00
8,2,-0.2701,5.8160,1.6485,356.42,263.38,50.00,150.00
8,3,-1.6574,3.8433,1.6485,202.50,321.57,50.00,150.00
8,4,-1.2482,5.3076,1.6485,280.93,274.24,50.00,150.00
8,5,1.3765,5.4726,1.6485,475.61,270.49,50.00,150.00
9,1,0.6221,3.7476,1.6485,441.40,325.95,50.00,150.00
9,2,-0.2653,5.8483,1.6485,356.85,262.75,50.00,150.00
9,3,-1.6493,3.8025,1.6485,201.51,323.41,50.00,150.00
9,4,-1.2911,5.3017,1.6485,277.59,274.37,50.00,150.00
9,5,1.4086,5.4727,1.6485,477.95,270.49,50.00,150.00
10,1,0.6215,3.7037,1.6485,442.12,328.04,50.00,150.00
10,2,-0.2640,5.8850,1.6485,357.06,262.05,50.00,150.00
10,3,-1.6391,3.7573,1.6485,200.51,325.50,50.00,150.00
10,4,-1.3388,5.2955,1.6485,273.87,274.52,50.00,150.00
10,5,1.4444,5.4720,1.6485,480.59,270.50,50.00,150.00
11,1,0.6208,3.6554,1.6485,442.94,330.39,50.00,150.00
11,2,-0.2665,5.9257,1.6485,357.01,261.28,50.00,150.00
11,3,-1.6264,3.7079,1.6485,199.55,327.84,50.00,150.00
11,4,-1.3915,5.2889,1.6485,269.76,274.68,50.00,150.00
11,5,1.4840,5.4703,1.6485,483.52,270.54,50.00,150.00
12,1,0.6332,3.6063,1.6485,445.23,332.85,50.00,150.00
12,2,-0.2731,5.9700,1.6485,356.70,260.45,50.00,150.00
12,3,-1.6109,3.6543,1.6485,198.67,330.45,50.00,150.00
12,4,-1.4490,5.2819,1.6485,265.26,274.84,50.00,150.00
12,5,1.5221,5.4558,1.6485,486.59,270.86,50.00,150.00
13,1,0.6538,3.5560,1.6485,448.54,335.43,50.00,150.00
13,2,-0.2836,6.0177,1.6485,356.15,259.58,50.00,150.00
13,3,-1.5921,3.5968,1.6485,197.95,333.33,50.00,150.00
13,4,-1.5115,5.2741,1.6485,260.37,275.03,50.00,150.00
13,5,1.5591,5.4329,1.6485,489.79,271.37,50.00,150.00
14,1,0.6802,3.5038,1.6485,452.65,338.20,50.00,150.00
14,2,-0.2975,6.0689,1.6485,355.39,258.65,50.00,150.00
14,3,-1.5699,3.5365,1.6485,197.44,336.46,50.00,150.00
14,4,-1.5774,5.2656,1.6485,255.17,275.23,50.00,150.00
14,5,1.5960,5.4038,1.6485,493.14,272.02,50.00,150.00
15,1,0.7095,3.4514,1.6485,457.22,341.05,50.00,150.00
15,2,-0.2804,6.0978,1.6485,356.61,258.14,50.00,150.00
15,3,-1.5454,3.4770,1.6485,197.22,339.65,50.00,150.00
15,4,-1.6433,5.2566,1.6485,249.95,275.44,50.00,150.00
15,5,1.6195,5.3638,1.6485,495.77,272.93,50.00,150.00
16,1,0.7400,3.3998,1.6485,462.07,343.95,50.00,150.00
16,2,-0.2526,6.1130,1.6485,358.47,257.87,50.00,150.00
16,3,-1.5186,3.4185,1.6485,197.31,342.89,50.00,150.00
16,4,-1.7092,5.2474,1.6485,244.71,275.66,50.00,150.00
16,5,1.6349,5.3175,1.6485,497.98,274.00,50.00,150.00
17,1,0.7713,3.3486,1.6485,467.13,346.92,50.00,150.00
17,2,-0.2193,6.1190,1.6485,360.66,257.76,50.00,150.00
17,3,-1.4896,3.3611,1.6485,197.73,346.19,50.00,150.00
17,4,-1.7751,5.2384,1.6485,239.45,275.88,50.00,150.00
17,5,1.6455,5.2672,1.6485,499.96,275.19,50.00,150.00
18,1,0.8029,3.2976,1.6485,472.39,349.96,50.00,150.00
18,2,-0.1822,6.1180,1.6485,363.09,257.78,50.00,150.00
18,3,-1.4585,3.3048,1.6485,198.47,349.53,50.00,150.00
18,4,-1.8411,5.2297,1.6485,234.18,276.09,50.00,150.00
18,5,1.6528,5.2164,1.6485,501.74,276.41,50.00,150.00
19,1,0.8347,3.2468,1.6485,477.83,353.09,50.00,150.00
19,2,-0.1418,6.1113,1.6485,365.72,257.90,50.00,150.00
19,3,-1.4253,3.2497,1.6485,199.56,352.91,50.00,150.00
19,4,-1.9071,5.2213,1.6485,228.90,276.29,50.00,150.00
19,5,1.6583,5.1653,1.6485,503.42,277.66,50.00,150.00
20,1,0.8667,3.1961,1.6485,483.47,356.32,50.00,150.00
20,2,-0.0986,6.0992,1.6485,368.54,258.11,50.00,150.00
20,3,-1.3796,3.2045,1.6485,202.79,355.78,50.00,150.00
20,4,-1.9686,5.1960,1.6485,223.45,276.91,50.00,150.00
20,5,1.6627,5.1141,1.6485,505.05,278.94,50.00,150.00
21,1,0.8987,3.1453,1.6485,489.29,359.64,50.00,150.00
21,2,-0.0794,6.0707,1.6485,369.77,258.62,50.00,150.00
21,3,-1.3280,3.1661,1.6485,207.22,358.27,50.00,150.00
21,4,-2.0200,5.1537,1.6485,218.22,277.95,50.00,150.00
21,5,1.6666,5.0629,1.6485,506.67,280.24,50.00,150.00
22,1,0.9307,3.0946,1.6485,495.30,363.08,50.00,150.00
22,2,-0.0734,6.0366,1.6485,370.14,259.23,50.00,150.00
22,3,-1.2736,3.1319,1.6485,212.34,360.55,50.00,150.00
22,4,-2.0635,5.1035,1.6485,213.26,279.21,50.00,150.00
22,5,1.6701,5.0116,1.6485,508.30,281.57,50.00,150.00
23,1,0.9628,3.0440,1.6485,501.52,366.63,50.00,150.00
23,2,-0.0752,5.9988,1.6485,369.98,259.92,50.00,150.00
23,3,-1.2177,3.1001,1.6485,217.89,362.71,50.00,150.00
23,4,-2.1022,5.0494,1.6485,208.47,280.59,50.00,150.00
23,5,1.6735,4.9603,1.6485,509.95,282.93,50.00,150.00
24,1,0.9949,2.9933,1.6485,507.95,370.29,50.00,150.00
24,2,-0.0823,5.9577,1.6485,369.48,260.68,50.00,150.00
24,3,-1.1610,3.0696,1.6485,223.71,364.81,50.00,150.00
24,4,-2.1380,4.9933,1.6485,203.73,282.06,50.00,150.00
24,5,1.6768,4.9090,1.6485,511.63,284.32,50.00,150.00
25,1,1.0270,2.9426,1.6485,514.60,374.09,50.00,150.00
25,2,-0.0928,5.9130,1.6485,368.72,261.52,50.00,150.00
25,3,-1.1039,3.0400,1.6485,229.75,366.91,50.00,150.00
25,4,-2.1721,4.9362,1.6485,198.98,283.58,50.00,150.00
25,5,1.6800,4.8578,1.6485,513.34,285.74,50.00,150.00
26,1,1.0591,2.8919,1.6485,521.49,378.01,50.00,150.00
26,2,-0.1061,5.8648,1.6485,367.77,262.43,50.00,150.00
26,3,-1.0466,3.0108,1.6485,235.96,369.01,50.00,150.00
26,4,-2.2053,4.8785,1.6485,194.18,285.16,50.00,150.00
26,5,1.6832,4.8065,1.6485,515.08,287.19,50.00,150.00
27,1,1.0912,2.8413,1.6485,528.62,382.08,50.00,150.00
27,2,-0.1214,5.8127,1.6485,366.65,263.44,50.00,150.00
27,3,-0.9892,2.9819,1.6485,242.31,371.14,50.00,150.00
27,4,-2.2380,4.8206,1.6485,189.30,286.79,50.00,150.00
27,5,1.6864,4.7552,1.6485,516.86,288.67,50.00,150.00
28,1,1.1233,2.7906,1.6485,536.01,386.29,50.00,150.00
28,2,-0.1381,5.7577,1.6485,365.40,264.53,50.00,150.00
28,3,-0.9317,2.9531,1.6485,248.81,373.29,50.00,150.00
28,4,-2.2703,4.7625,1.6485,184.31,288.46,50.00,150.00
28,5,1.6895,4.7039,1.6485,518.67,290.18,50.00,150.00
29,1,1.1440,2.7343,1.6485,542.35,391.16,50.00,150.00
29,2,-0.1552,5.7027,1.6485,364.11,265.63,50.00,150.00
29,3,-0.8741,2.9243,1.6485,255.44,375.49,50.00,150.00
29,4,-2.3025,4.7043,1.6485,179.22,290.17,50.00,150.00
29,5,1.7127,4.6850,1.6485,521.23,290.75,50.00,150.00
30,1,1.1698,2.6802,1.6485,549.59,396.03,50.00,150.00
30,2,-0.1725,5.6479,1.6485,362.78,266.75,50.00,150.00
30,3,-0.8166,2.8956,1.6485,262.20,377.72,50.00,150.00
30,4,-2.3346,4.6460,1.6485,174.00,291.93,50.00,150.00
30,5,1.7275,4.6580,1.6485,523.35,291.56,50.00,150.00
31,1,1.2095,2.6352,1.6485,558.59,400.23,50.00,150.00
31,2,-0.1899,5.5931,1.6485,361.42,267.90,50.00,150.00
31,3,-0.8059,2.8595,1.6485,262.27,380.60,50.00,150.00
31,4,-2.3667,4.5877,1.6485,168.65,293.73,50.00,150.00
