frame,track_id,world_pX,world_pZ,world_pY,cov_00,cov_01,cov_02,cov_10,cov_11,cov_12,cov_20,cov_21,cov_22
3,1,2.316982,3.328890,1.598230,0.002199,0.000010,0.000000,0.000010,0.001338,0.000001,0.000000,0.000001,0.008266
4,1,2.327760,3.333853,1.602623,0.001980,-0.000012,-0.000000,-0.000012,0.000995,-0.000001,-0.000000,-0.000001,0.007016
5,1,2.353235,3.344421,1.604721,0.001847,0.000000,-0.000000,0.000000,0.000882,-0.000002,-0.000000,-0.000002,0.006062
6,1,2.366684,3.351605,1.604672,0.001758,0.000032,0.000000,0.000032,0.000882,-0.000001,0.000000,-0.000001,0.005334
7,1,2.384537,3.368624,1.610427,0.001703,0.000083,0.000000,0.000083,0.000981,-0.000000,0.000000,-0.000000,0.004781
8,1,2.397981,3.388063,1.616536,0.001634,0.000157,-0.000000,0.000157,0.001115,0.000001,-0.000000,0.000001,0.004348
9,1,2.401923,3.401111,1.623797,0.001540,0.000218,-0.000000,0.000218,0.001247,0.000001,-0.000000,0.000001,0.004001
10,1,2.433506,3.440513,1.641183,0.001448,0.000271,-0.000000,0.000271,0.001332,0.000004,-0.000000,0.000004,0.003732
11,1,2.443139,3.461818,1.656058,0.001472,0.000155,-0.000001,0.000155,0.001503,0.000001,-0.000001,0.000001,0.003509
12,1,2.495554,3.549075,1.679791,0.001518,0.000197,0.000005,0.000197,0.001651,0.000011,0.000005,0.000011,0.003391
13,1,2.537334,3.642954,1.706706,0.001761,0.000050,0.000003,0.000050,0.001748,0.000010,0.000003,0.000010,0.003301
14,1,2.562093,3.722677,1.726851,0.001799,-0.000016,-0.000001,-0.000016,0.001710,0.000000,-0.000001,0.000000,0.003202
15,1,2.576644,3.799629,1.719306,0.001703,0.000004,-0.000001,0.000004,0.001693,0.000001,-0.000001,0.000001,0.003143
16,1,2.591610,3.872969,1.707146,0.001606,0.000019,-0.000005,0.000019,0.001688,0.000005,-0.000005,0.000005,0.003124
17,1,2.607011,3.944809,1.696778,0.001546,0.000022,-0.000009,0.000022,0.001685,0.000006,-0.000009,0.000006,0.003099
18,1,2.634786,4.005864,1.691702,0.001520,0.000020,-0.000012,0.000020,0.001689,0.000007,-0.000012,0.000007,0.003077
19,1,2.672787,4.057704,1.693269,0.001497,0.000032,-0.000008,0.000032,0.001688,0.000005,-0.000008,0.000005,0.003061
20,1,2.726495,4.113066,1.698500,0.001483,0.000057,-0.000002,0.000057,0.001662,0.000002,-0.000002,0.000002,0.003054
21,1,2.787108,4.183453,1.709353,0.001489,0.000086,0.000002,0.000086,0.001631,0.000002,0.000002,0.000002,0.003039
22,1,2.848364,4.245937,1.709019,0.001550,0.000066,-0.000001,0.000066,0.001615,0.000000,-0.000001,0.000000,0.003014
23,1,2.909387,4.298867,1.698357,0.001591,0.000049,-0.000001,0.000049,0.001612,0.000000,-0.000001,0.000000,0.003002
24,1,2.958927,4.353158,1.683345,0.001606,0.000057,0.000005,0.000057,0.001598,-0.000002,0.000005,-0.000002,0.002997
25,1,3.000741,4.397994,1.672525,0.001603,0.000081,0.000006,0.000081,0.001578,-0.000001,0.000006,-0.000001,0.002981
26,1,3.028291,4.442205,1.669142,0.001592,0.000115,0.000004,0.000115,0.001548,-0.000001,0.000004,-0.000001,0.002965
27,1,3.047798,4.475817,1.666528,0.001558,0.000156,0.000002,0.000156,0.001522,-0.000001,0.000002,-0.000001,0.002949
28,1,3.067246,4.525195,1.671576,0.001506,0.000179,-0.000003,0.000179,0.001493,0.000002,-0.000003,0.000002,0.002939
29,1,3.090310,4.582417,1.675504,0.001459,0.000181,-0.000002,0.000181,0.001512,0.000002,-0.000002,0.000002,0.002928
30,1,3.112672,4.652492,1.679768,0.001449,0.000148,-0.000000,0.000148,0.001562,0.000003,-0.000000,0.000003,0.002921
31,1,3.136516,4.724626,1.686742,0.001474,0.000096,0.000001,0.000096,0.001607,0.000002,0.000001,0.000002,0.002912
32,1,3.159751,4.802265,1.689845,0.001518,0.000058,0.000002,0.000058,0.001633,0.000000,0.000002,0.000000,0.002903
33,1,3.197297,4.879896,1.689238,0.001551,0.000041,0.000001,0.000041,0.001650,-0.000000,0.000001,-0.000000,0.002902
34,1,3.244650,4.957584,1.681850,0.001568,0.000040,-0.000003,0.000040,0.001655,-0.000001,-0.000003,-0.000001,0.002906
35,1,3.276252,5.026112,1.667515,0.001564,0.000046,-0.000000,0.000046,0.001648,0.000001,-0.000000,0.000001,0.002905
36,1,3.302986,5.073580,1.655851,0.001535,0.000066,0.000001,0.000066,0.001662,0.000005,0.000001,0.000005,0.002907
37,1,3.327163,5.123094,1.651744,0.001469,0.000095,0.000001,0.000095,0.001643,0.000001,0.000001,0.000001,0.002896
38,1,3.364452,5.186064,1.651529,0.001429,0.000110,0.000000,0.000110,0.001622,-0.000000,0.000000,-0.000000,0.002889
39,1,3.418298,5.258045,1.658576,0.001467,0.000104,0.000004,0.000104,0.001626,0.000001,0.000004,0.000001,0.002896
40,1,3.479211,5.328159,1.663134,0.001537,0.000078,0.000003,0.000078,0.001627,0.000001,0.000003,0.000001,0.002897
41,1,3.541391,5.394459,1.665180,0.001583,0.000056,-0.000000,0.000056,0.001624,0.000001,-0.000000,0.000001,0.002892
42,1,3.602486,5.446184,1.651406,0.001603,0.000051,-0.000001,0.000051,0.001618,0.000002,-0.000001,0.000002,0.002892
