frame,track_id,world_pX,world_pZ,world_pY,cov_00,cov_01,cov_02,cov_10,cov_11,cov_12,cov_20,cov_21,cov_22
3,1,-2.245361,6.151675,1.999294,0.002662,0.000000,0.000000,0.000000,0.094608,0.000000,0.000000,0.000000,0.002662
4,1,-2.264091,6.154727,2.000286,0.002609,0.000000,0.000000,0.000000,0.094702,0.000000,0.000000,0.000000,0.002609
5,1,-2.290073,6.194400,2.007468,0.002554,0.000000,0.000000,0.000000,0.095926,0.000000,0.000000,0.000000,0.002554
6,1,-2.308450,6.223392,2.015266,0.008743,0.000000,0.000000,0.000000,0.096827,0.000000,0.000000,0.000000,0.008743
10,1,-2.491773,6.096742,1.973812,0.003196,0.000000,0.000000,0.000000,0.092926,0.000000,0.000000,0.000000,0.003196
11,1,-2.507110,6.107423,1.997597,0.002569,0.000000,0.000000,0.000000,0.093252,0.000000,0.000000,0.000000,0.002569
12,1,-2.537092,6.117342,1.986372,0.002534,0.000000,0.000000,0.000000,0.093555,0.000000,0.000000,0.000000,0.002534
13,1,-2.571270,6.113527,1.986471,0.002444,0.000000,0.000000,0.000000,0.093438,0.000000,0.000000,0.000000,0.002444
14,1,-2.607958,6.136415,1.988711,0.002409,0.000000,0.000000,0.000000,0.094139,0.000000,0.000000,0.000000,0.002409
15,1,-2.693627,6.272984,2.031830,0.008391,0.000000,0.000000,0.000000,0.098376,0.000000,0.000000,0.000000,0.008391
18,1,-2.935565,6.199740,2.022520,0.003389,0.000000,0.000000,0.000000,0.096092,0.000000,0.000000,0.000000,0.003389
19,1,-2.974440,6.216526,2.015843,0.002453,0.000000,0.000000,0.000000,0.096613,0.000000,0.000000,0.000000,0.002453
20,1,-3.044882,6.213474,2.029552,0.002372,0.000000,0.000000,0.000000,0.096518,0.000000,0.000000,0.000000,0.002372
21,1,-3.104631,6.221866,2.035297,0.009173,0.000000,0.000000,0.000000,0.096779,0.000000,0.000000,0.000000,0.009173
23,1,-3.241660,6.191348,2.012663,0.002782,0.000000,0.000000,0.000000,0.095832,0.000000,0.000000,0.000000,0.002782
24,1,-3.278654,6.195926,2.013583,0.002463,0.000000,0.000000,0.000000,0.095974,0.000000,0.000000,0.000000,0.002463
25,1,-3.313195,6.204318,1.999243,0.002437,0.000000,0.000000,0.000000,0.096234,0.000000,0.000000,0.000000,0.002437
26,1,-3.368954,6.202029,1.992660,0.002337,0.000000,0.000000,0.000000,0.096163,0.000000,0.000000,0.000000,0.002337
27,1,-3.406770,6.229496,2.016133,0.002287,0.000000,0.000000,0.000000,0.097017,0.000000,0.000000,0.000000,0.002287
28,1,-3.440385,6.260777,2.031751,0.002223,0.000000,0.000000,0.000000,0.097993,0.000000,0.000000,0.000000,0.002223
29,1,-3.492374,6.269932,2.036746,0.002182,0.000000,0.000000,0.000000,0.098280,0.000000,0.000000,0.000000,0.002182
30,1,-3.555215,6.269169,2.021261,0.002155,0.000000,0.000000,0.000000,0.098256,0.000000,0.000000,0.000000,0.002155
31,1,-3.616025,6.254673,2.000387,0.002092,0.000000,0.000000,0.000000,0.097802,0.000000,0.000000,0.000000,0.002092
32,1,-3.678982,6.250095,1.998337,0.002061,0.000000,0.000000,0.000000,0.097659,0.000000,0.000000,0.000000,0.002061
33,1,-3.731096,6.253147,1.995700,0.006282,0.000000,0.000000,0.000000,0.097755,0.000000,0.000000,0.000000,0.006282
35,1,-3.779496,6.158541,1.948188,0.002856,0.000000,0.000000,0.000000,0.094819,0.000000,0.000000,0.000000,0.002856
36,1,-3.827515,6.159304,1.946699,0.002272,0.000000,0.000000,0.000000,0.094843,0.000000,0.000000,0.000000,0.002272
37,1,-3.882788,6.164645,1.964343,0.002240,0.000000,0.000000,0.000000,0.095007,0.000000,0.000000,0.000000,0.002240
38,1,-3.924398,6.171512,1.967082,0.002182,0.000000,0.000000,0.000000,0.095219,0.000000,0.000000,0.000000,0.002182
39,1,-4.022136,6.265354,2.013546,0.002161,0.000000,0.000000,0.000000,0.098137,0.000000,0.000000,0.000000,0.002161
40,1,-4.065910,6.282140,2.024848,0.002085,0.000000,0.000000,0.000000,0.098663,0.000000,0.000000,0.000000,0.002085
41,1,-4.103807,6.300450,2.016578,0.002053,0.000000,0.000000,0.000000,0.099239,0.000000,0.000000,0.000000,0.002053
42,1,-4.160146,6.309606,2.030193,0.002076,0.000000,0.000000,0.000000,0.099528,0.000000,0.000000,0.000000,0.002076
43,1,-4.232388,6.305028,2.032637,0.002043,0.000000,0.000000,0.000000,0.099383,0.000000,0.000000,0.000000,0.002043
44,1,-4.301268,6.305791,2.034231,0.002026,0.000000,0.000000,0.000000,0.099407,0.000000,0.000000,0.000000,0.002026
45,1,-4.348978,6.287480,2.012948,0.002005,0.000000,0.000000,0.000000,0.098831,0.000000,0.000000,0.000000,0.002005
46,1,-4.386172,6.281377,2.010424,0.002032,0.000000,0.000000,0.000000,0.098639,0.000000,0.000000,0.000000,0.002032
47,1,-4.423841,6.285954,2.011668,0.002086,0.000000,0.000000,0.000000,0.098783,0.000000,0.000000,0.000000,0.002086
48,1,-4.474528,6.290532,2.013046,0.002112,0.000000,0.000000,0.000000,0.098927,0.000000,0.000000,0.000000,0.002112
49,1,-4.520388,6.310369,2.014143,0.002133,0.000000,0.000000,0.000000,0.099552,0.000000,0.000000,0.000000,0.002133
50,1,-4.574202,6.320287,2.020562,0.002107,0.000000,0.000000,0.000000,0.099865,0.000000,0.000000,0.000000,0.002107
51,1,-4.634048,6.323339,2.022771,0.002127,0.000000,0.000000,0.000000,0.099962,0.000000,0.000000,0.000000,0.002127
52,1,-4.693116,6.340887,2.028859,0.002079,0.000000,0.000000,0.000000,0.100517,0.000000,0.000000,0.000000,0.002079
53,1,-4.748827,6.351568,2.032355,0.006122,0.000000,0.000000,0.000000,0.100856,0.000000,0.000000,0.000000,0.006122
54,1,-4.831482,6.337072,2.007793,0.002587,0.000000,0.000000,0.000000,0.100396,0.000000,0.000000,0.000000,0.002587
55,1,-4.883515,6.333257,2.003379,0.002071,0.000000,0.000000,0.000000,0.100275,0.000000,0.000000,0.000000,0.002071
56,1,-4.931725,6.344701,2.005935,0.002094,0.000000,0.000000,0.000000,0.100638,0.000000,0.000000,0.000000,0.002094
57,1,-4.932924,6.289769,1.993546,0.002080,0.000000,0.000000,0.000000,0.098903,0.000000,0.000000,0.000000,0.002080
58,1,-4.976321,6.286717,1.989278,0.002120,0.000000,0.000000,0.000000,0.098807,0.000000,0.000000,0.000000,0.002120
59,1,-5.013938,6.282140,2.002375,0.002097,0.000000,0.000000,0.000000,0.098663,0.000000,0.000000,0.000000,0.002097
60,1,-5.073205,6.280614,1.991710,0.002117,0.000000,0.000000,0.000000,0.098615,0.000000,0.000000,0.000000,0.002117
61,1,-5.179152,6.366064,2.025482,0.002148,0.000000,0.000000,0.000000,0.101317,0.000000,0.000000,0.000000,0.002148
62,1,-5.234937,6.374457,2.035973,0.002137,0.000000,0.000000,0.000000,0.101584,0.000000,0.000000,0.000000,0.002137
63,1,-5.286930,6.379035,2.040366,0.002096,0.000000,0.000000,0.000000,0.101730,0.000000,0.000000,0.000000,0.002096
64,1,-5.336785,6.400397,2.048253,0.002088,0.000000,0.000000,0.000000,0.102413,0.000000,0.000000,0.000000,0.002088
65,1,-5.404584,6.405737,2.039673,0.002082,0.000000,0.000000,0.000000,0.102584,0.000000,0.000000,0.000000,0.002082
66,1,-5.471889,6.390479,2.030921,0.002068,0.000000,0.000000,0.000000,0.102096,0.000000,0.000000,0.000000,0.002068
67,1,-5.535168,6.400397,2.032613,0.002073,0.000000,0.000000,0.000000,0.102413,0.000000,0.000000,0.000000,0.002073
68,1,-5.572898,6.385901,2.027481,0.002062,0.000000,0.000000,0.000000,0.101949,0.000000,0.000000,0.000000,0.002062
69,1,-5.627312,6.380560,2.025607,0.002130,0.000000,0.000000,0.000000,0.101779,0.000000,0.000000,0.000000,0.002130
70,1,-5.666063,6.377509,2.008858,0.002163,0.000000,0.000000,0.000000,0.101682,0.000000,0.000000,0.000000,0.002163
71,1,-5.717201,6.378272,2.018930,0.002142,0.000000,0.000000,0.000000,0.101706,0.000000,0.000000,0.000000,0.002142
72,1,-5.766644,6.396582,2.028495,0.002177,0.000000,0.000000,0.000000,0.102291,0.000000,0.000000,0.000000,0.002177
73,1,-5.822407,6.405737,2.032862,0.002196,0.000000,0.000000,0.000000,0.102584,0.000000,0.000000,0.000000,0.002196
74,1,-5.877859,6.414130,2.036100,0.002134,0.000000,0.000000,0.000000,0.102853,0.000000,0.000000,0.000000,0.002134
75,1,-5.932854,6.421760,2.022763,0.002104,0.000000,0.000000,0.000000,0.103097,0.000000,0.000000,0.000000,0.002104
76,1,-5.979112,6.425574,2.023403,0.002057,0.000000,0.000000,0.000000,0.103220,0.000000,0.000000,0.000000,0.002057
