frame,track_id,world_pX,world_pZ,world_pY,cov_00,cov_01,cov_02,cov_10,cov_11,cov_12,cov_20,cov_21,cov_22
3,1,-1.164209,3.152454,1.822867,0.002202,-0.000000,-0.000000,-0.000000,0.001595,0.000001,-0.000000,0.000001,0.008272
3,2,0.839912,3.605257,1.599100,0.002196,0.000004,-0.000000,0.000004,0.001396,-0.000000,-0.000000,-0.000000,0.008263
4,1,-1.162156,3.130843,1.807571,0.013796,-0.000861,-0.000005,-0.000861,0.006757,0.000005,-0.000005,0.000005,0.024875
4,2,0.800513,3.608943,1.608040,0.001990,0.000019,-0.000000,0.000019,0.001520,-0.000000,-0.000000,-0.000000,0.007016
5,1,-1.261993,3.159828,1.853075,0.002357,-0.000046,-0.000000,-0.000046,0.002098,0.000002,-0.000000,0.000002,0.008830
5,2,0.780031,3.596915,1.612597,0.001856,0.000016,0.000000,0.000016,0.001666,-0.000000,0.000000,-0.000000,0.006068
6,1,-1.293441,3.121210,1.843906,0.001941,-0.000030,0.000000,-0.000030,0.001405,0.000002,0.000000,0.000002,0.006261
6,2,0.760942,3.596364,1.622562,0.001779,0.000033,-0.000000,0.000033,0.001623,0.000000,-0.000000,0.000000,0.005349
7,1,-1.332768,3.108860,1.846931,0.001821,-0.000099,0.000000,-0.000099,0.001142,0.000000,0.000000,0.000000,0.005256
7,2,0.736390,3.619573,1.644882,0.001742,0.000040,-0.000001,0.000040,0.001557,0.000004,-0.000001,0.000004,0.004808
8,1,-1.341566,3.081571,1.840453,0.001752,-0.000136,-0.000000,-0.000136,0.001035,0.000001,-0.000000,0.000001,0.004700
8,2,0.723940,3.640883,1.665039,0.001727,0.000021,-0.000001,0.000021,0.001499,0.000003,-0.000001,0.000003,0.004381
9,1,-1.349052,3.049862,1.829131,0.001692,-0.000139,-0.000000,-0.000139,0.001190,0.000002,-0.000000,0.000002,0.004321
9,2,0.706774,3.668915,1.690295,0.001702,0.000000,-0.000002,0.000000,0.001453,0.000005,-0.000002,0.000005,0.004046
10,1,-1.368557,3.001582,1.811870,0.001653,-0.000097,0.000001,-0.000097,0.001433,0.000004,0.000001,0.000004,0.004037
10,2,0.673545,3.666106,1.714872,0.001691,-0.000017,-0.000002,-0.000017,0.001452,-0.000003,-0.000002,-0.000003,0.003788
11,1,-1.401501,2.948944,1.792466,0.001590,-0.000085,0.000002,-0.000085,0.001540,0.000004,0.000002,0.000004,0.003803
11,2,0.633211,3.646561,1.736757,0.001694,0.000000,-0.000001,0.000000,0.001515,-0.000006,-0.000001,-0.000006,0.003595
12,1,-1.449189,2.892450,1.772440,0.001501,-0.000085,0.000004,-0.000085,0.001578,0.000003,0.000004,0.000003,0.003607
12,2,0.590691,3.583940,1.744965,0.001682,0.000021,0.000003,0.000021,0.001626,0.000004,0.000003,0.000004,0.003487
13,1,-1.498966,2.828886,1.752245,0.001391,-0.000056,0.000003,-0.000056,0.001601,0.000003,0.000003,0.000003,0.003439
13,2,0.553771,3.507142,1.742229,0.001641,0.000025,0.000008,0.000025,0.001615,0.000012,0.000008,0.000012,0.003384
14,1,-1.547189,2.765875,1.732783,0.001402,-0.000002,0.000000,-0.000002,0.001617,0.000001,0.000000,0.000001,0.003298
14,2,0.526312,3.423838,1.730673,0.001647,-0.000000,0.000016,-0.000000,0.001625,0.000004,0.000016,0.000004,0.003304
