frame,ped_id,world_pX,world_pZ,world_pY,bb_left,bb_top,bb_w,bb_h
1,1,1.1811,4.1488,1.9285,488.87,335.93,50.00,150.00
1,2,2.1341,4.1026,2.0285,583.07,347.78,50.00,150.00
1,3,-1.1163,4.7122,1.6485,280.25,289.93,50.00,150.00
2,1,1.1774,4.1508,1.9285,488.46,335.84,50.00,150.00
2,2,2.1382,4.1049,2.0285,583.36,347.67,50.00,150.00
2,3,-1.1120,4.7096,1.6485,280.56,290.01,50.00,150.00
3,1,1.1690,4.1536,1.9285,487.58,335.72,50.00,150.00
3,2,2.1477,4.1075,2.0285,584.14,347.54,50.00,150.00
3,3,-1.1035,4.7044,1.6485,281.17,290.17,50.00,150.00
4,1,1.1560,4.1572,1.9285,486.23,335.56,50.00,150.00
4,2,2.1622,4.1108,2.0285,585.40,347.38,50.00,150.00
4,3,-1.0907,4.6966,1.6485,282.11,290.40,50.00,150.00
5,1,1.1383,4.1618,1.9285,484.40,335.35,50.00,150.00
5,2,2.1819,4.1149,2.0285,587.10,347.18,50.00,150.00
5,3,-1.0737,4.6862,1.6485,283.35,290.71,50.00,150.00
6,1,1.1160,4.1674,1.9285,482.12,335.10,50.00,150.00
6,2,2.2066,4.1201,2.0285,589.23,346.94,50.00,150.00
6,3,-1.0524,4.6732,1.6485,284.92,291.10,50.00,150.00
7,1,1.0891,4.1743,1.9285,479.37,334.80,50.00,150.00
7,2,2.2363,4.1265,2.0285,591.78,346.63,50.00,150.00
7,3,-1.0268,4.6576,1.6485,286.81,291.57,50.00,150.00
8,1,1.0578,4.1825,1.9285,476.16,334.43,50.00,150.00
8,2,2.2710,4.1343,2.0285,594.72,346.26,50.00,150.00
8,3,-0.9970,4.6394,1.6485,289.04,292.13,50.00,150.00
9,1,1.0219,4.1922,1.9285,472.50,334.01,50.00,150.00
9,2,2.3105,4.1439,2.0285,598.03,345.81,50.00,150.00
9,3,-0.9630,4.6186,1.6485,291.60,292.77,50.00,150.00
10,1,0.9816,4.2035,1.9285,468.41,333.51,50.00,150.00
10,2,2.3548,4.1556,2.0285,601.66,345.25,50.00,150.00
10,3,-0.9247,4.5952,1.6485,294.51,293.50,50.00,150.00
11,1,0.9788,4.2093,1.9285,468.02,333.26,50.00,150.00
11,2,2.4037,4.1699,2.0285,605.58,344.58,50.00,150.00
11,3,-0.9215,4.5697,1.6485,294.33,294.30,50.00,150.00
12,1,0.9845,4.2126,1.9285,468.48,333.12,50.00,150.00
12,2,2.4571,4.1872,2.0285,609.72,343.78,50.00,150.00
12,3,-0.9328,4.5466,1.6485,292.94,295.03,50.00,150.00
13,1,0.9952,4.2143,1.9285,469.46,333.04,50.00,150.00
13,2,2.5146,4.2080,2.0285,614.03,342.82,50.00,150.00
13,3,-0.9523,4.5243,1.6485,290.81,295.75,50.00,150.00
14,1,1.0107,4.2151,1.9285,470.91,333.01,50.00,150.00
14,2,2.5760,4.2329,2.0285,618.43,341.69,50.00,150.00
14,3,-0.9776,4.5011,1.6485,288.12,296.50,50.00,150.00
15,1,1.0094,4.2184,1.9285,470.71,332.87,50.00,150.00
15,2,2.6394,4.2620,2.0285,622.72,340.38,50.00,150.00
15,3,-0.9768,4.4774,1.6485,287.73,297.27,50.00,150.00
16,1,1.0027,4.2218,1.9285,470.00,332.72,50.00,150.00
16,2,2.7013,4.2943,2.0285,626.61,338.95,50.00,150.00
16,3,-0.9640,4.4556,1.6485,288.46,297.99,50.00,150.00
17,1,1.0064,4.2235,1.9285,470.31,332.64,50.00,150.00
17,2,2.7610,4.3303,2.0285,630.04,337.38,50.00,150.00
17,3,-0.9679,4.4328,1.6485,287.66,298.75,50.00,150.00
18,1,1.0150,4.2242,1.9285,471.11,332.61,50.00,150.00
18,2,2.8183,4.3700,2.0285,632.97,335.67,50.00,150.00
18,3,-0.9808,4.4098,1.6485,286.03,299.53,50.00,150.00
19,1,1.0120,4.2259,1.9285,470.79,332.54,50.00,150.00
19,2,2.8729,4.4135,2.0285,635.38,333.85,50.00,150.00
19,3,-0.9753,4.3878,1.6485,286.09,300.28,50.00,150.00
20,1,1.0163,4.2265,1.9285,471.19,332.52,50.00,150.00
20,2,2.9242,4.4607,2.0285,637.22,331.90,50.00,150.00
20,3,-0.9822,4.3649,1.6485,284.99,301.07,50.00,150.00
21,1,1.0125,4.2272,1.9285,470.81,332.49,50.00,150.00
21,2,2.9721,4.5115,2.0285,638.51,329.85,50.00,150.00
21,3,-0.9739,4.3436,1.6485,285.32,301.81,50.00,150.00
22,1,1.0164,4.2271,1.9285,471.18,332.49,50.00,150.00
22,2,3.0160,4.5657,2.0285,639.23,327.72,50.00,150.00
22,3,-0.9788,4.3207,1.6485,284.39,302.61,50.00,150.00
23,1,1.0251,4.2274,1.9285,472.00,332.48,50.00,150.00
23,2,3.0111,4.6090,2.0285,636.32,326.05,50.00,150.00
23,3,-0.9916,4.2966,1.6485,282.69,303.47,50.00,150.00
24,1,1.0383,4.2290,1.9285,473.21,332.41,50.00,150.00
24,2,2.9868,4.6424,2.0285,632.35,324.78,50.00,150.00
24,3,-0.9857,4.2738,1.6485,282.75,304.29,50.00,150.00
25,1,1.0367,4.2270,1.9285,473.10,332.49,50.00,150.00
25,2,2.9825,4.6815,2.0285,629.83,323.32,50.00,150.00
25,3,-0.9698,4.2526,1.6485,283.78,305.06,50.00,150.00
26,1,1.0304,4.2236,1.9285,472.58,332.64,50.00,150.00
26,2,2.9893,4.7236,2.0285,628.13,321.77,50.00,150.00
26,3,-0.9470,4.2318,1.6485,285.48,305.82,50.00,150.00
27,1,1.0341,4.2222,1.9285,472.97,332.70,50.00,150.00
27,2,2.9723,4.7562,2.0285,624.97,320.60,50.00,150.00
27,3,-0.9447,4.2062,1.6485,285.16,306.77,50.00,150.00
28,1,1.0427,4.2218,1.9285,473.79,332.72,50.00,150.00
28,2,2.9434,4.7822,2.0285,621.20,319.67,50.00,150.00
28,3,-0.9532,4.1792,1.6485,283.77,307.78,50.00,150.00
29,1,1.0559,4.2204,1.9285,475.08,332.78,50.00,150.00
29,2,2.9343,4.8168,2.0285,618.67,318.45,50.00,150.00
29,3,-0.9684,4.1502,1.6485,281.66,308.88,50.00,150.00
30,1,1.0561,4.2132,1.9285,475.27,333.09,50.00,150.00
30,2,2.9363,4.8555,2.0285,616.89,317.11,50.00,150.00
30,3,-0.9621,4.1234,1.6485,281.67,309.92,50.00,150.00
31,1,1.0507,4.2035,1.9285,474.99,333.51,50.00,150.00
31,2,2.9448,4.8981,2.0285,615.48,315.66,50.00,150.00
31,3,-0.9447,4.0990,1.6485,282.81,310.87,50.00,150.00
