frame,track_id,world_pX,world_pZ,world_pY,cov_00,cov_01,cov_02,cov_10,cov_11,cov_12,cov_20,cov_21,cov_22
3,1,-2.245278,6.143988,1.999140,0.002190,-0.000000,-0.000000,-0.000000,0.001206,0.000000,-0.000000,0.000000,0.008258
4,1,-2.262446,6.151334,2.003467,0.001974,-0.000005,0.000000,-0.000005,0.000941,0.000000,0.000000,0.000000,0.007002
5,1,-2.287374,6.165178,2.011048,0.001844,-0.000017,0.000000,-0.000017,0.000878,0.000001,0.000000,0.000001,0.006051
6,1,-2.304663,6.166575,2.015886,0.008911,-0.000319,0.000001,-0.000319,0.003083,0.000002,0.000001,0.000002,0.011965
9,1,-2.488451,6.110401,2.000983,0.002492,-0.000006,0.000000,-0.000006,0.002425,0.000000,0.000000,0.000000,0.009814
10,1,-2.521349,6.106963,2.000796,0.002211,-0.000008,-0.000000,-0.000008,0.002193,-0.000000,-0.000000,-0.000000,0.006500
11,1,-2.541329,6.113153,1.993416,0.002029,0.000042,-0.000000,0.000042,0.001903,-0.000001,-0.000000,-0.000001,0.005841
12,1,-2.568738,6.116266,1.989817,0.001868,0.000053,0.000000,0.000053,0.001593,-0.000000,0.000000,-0.000000,0.005476
13,1,-2.609528,6.118266,1.987963,0.001777,0.000022,-0.000000,0.000022,0.001507,-0.000000,-0.000000,-0.000000,0.005097
14,1,-2.663983,6.116000,1.993233,0.001741,0.000004,-0.000001,0.000004,0.001603,-0.000000,-0.000001,-0.000000,0.004720
15,1,-2.705374,6.117143,1.992545,0.007986,0.000053,-0.000001,0.000053,0.006776,-0.000001,-0.000001,-0.000001,0.008241
16,1,-2.790109,6.111303,1.997859,0.002236,0.000004,-0.000000,0.000004,0.002240,-0.000000,-0.000000,-0.000000,0.006485
17,1,-2.857766,6.194128,2.018053,0.001852,-0.000001,-0.000002,-0.000001,0.001915,0.000009,-0.000002,0.000009,0.005025
18,1,-2.923447,6.217601,2.027012,0.001720,0.000012,-0.000003,0.000012,0.001733,-0.000002,-0.000003,-0.000002,0.004339
19,1,-2.981744,6.230226,2.027554,0.001746,0.000009,-0.000001,0.000009,0.001740,-0.000001,-0.000001,-0.000001,0.003967
20,1,-3.043846,6.235005,2.034021,0.001713,-0.000023,-0.000001,-0.000023,0.001663,-0.000001,-0.000001,-0.000001,0.003737
21,1,-3.097312,6.254505,2.038632,0.007464,-0.000753,-0.000004,-0.000753,0.005722,-0.000002,-0.000004,-0.000002,0.006160
22,1,-3.176289,6.216441,2.028569,0.002207,-0.000029,0.000001,-0.000029,0.002137,0.000002,0.000001,0.000002,0.005577
23,1,-3.237556,6.204639,2.023743,0.001803,-0.000005,0.000000,-0.000005,0.001645,-0.000000,0.000000,-0.000000,0.004495
24,1,-3.277777,6.197907,2.020823,0.001742,0.000016,-0.000001,0.000016,0.001561,-0.000001,-0.000001,-0.000001,0.003987
25,1,-3.313581,6.201919,2.014492,0.001718,0.000036,-0.000001,0.000036,0.001491,-0.000003,-0.000001,-0.000003,0.003705
26,1,-3.356904,6.207397,2.010685,0.001690,0.000042,-0.000000,0.000042,0.001414,-0.000002,-0.000000,-0.000002,0.003522
27,1,-3.397551,6.219798,2.014952,0.001677,0.000033,0.000000,0.000033,0.001384,0.000001,0.000000,0.000001,0.003393
28,1,-3.440621,6.240581,2.020809,0.001669,0.000007,-0.000000,0.000007,0.001360,0.000002,-0.000000,0.000002,0.003294
29,1,-3.490287,6.273832,2.029219,0.001656,-0.000035,-0.000001,-0.000035,0.001368,0.000005,-0.000001,0.000005,0.003218
30,1,-3.548464,6.280856,2.028138,0.001630,-0.000074,-0.000000,-0.000074,0.001407,-0.000000,-0.000000,-0.000000,0.003143
31,1,-3.616225,6.274745,2.020986,0.001651,-0.000058,0.000003,-0.000058,0.001473,0.000004,0.000003,0.000004,0.003098
32,1,-3.682059,6.265073,2.014907,0.001659,-0.000027,0.000001,-0.000027,0.001487,0.000003,0.000001,0.000003,0.003051
33,1,-3.739956,6.265732,2.013885,0.007141,-0.000107,0.000000,-0.000107,0.004862,-0.000002,0.000000,-0.000002,0.004858
36,1,-3.820114,6.161716,1.959171,0.002490,0.000000,-0.000000,0.000000,0.002479,-0.000000,-0.000000,-0.000000,0.009440
37,1,-3.886908,6.151947,1.963047,0.002083,0.000184,-0.000002,0.000184,0.001805,0.000001,-0.000002,0.000001,0.006318
38,1,-3.929198,6.174203,1.969559,0.002020,0.000009,0.000000,0.000009,0.001987,0.000002,0.000000,0.000002,0.005683
